HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Abilene, TX",980,127,565,772,68,98,"226,444","50,412","45,289","9,563","2,090",638,113%,83%,65%,319,56%,41%,33%,208,37%,27%,21%,139,204%,142%,109%,70,103%,71%,55%,45,66%,46%,35%
"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042","109,598","22,933","4,959","1,529",295%,163%,113%,764,147%,81%,56%,499,96%,53%,37%,331,352%,236%,178%,165,176%,118%,89%,108,115%,77%,58%
"Alameda County, CA","2,695",293,665,"1,680",139,216,"1,310,189","214,991","262,038","53,872","11,400","3,591",540%,214%,133%,"1,796",270%,107%,67%,"1,171",176%,70%,43%,760,547%,352%,259%,380,273%,176%,130%,248,178%,115%,85%
"Albany, GA",704,60,221,462,27,43,"157,143","30,466","31,429","6,550","1,410",437,198%,95%,62%,218,99%,47%,31%,142,64%,31%,20%,94,348%,219%,157%,47,174%,109%,78%,31,115%,72%,52%
"Albany, NY","4,804",425,"1,579","3,191",193,309,"1,477,723","318,695","295,545","62,209","13,545","4,147",263%,130%,86%,"2,074",131%,65%,43%,"1,352",86%,42%,28%,903,468%,292%,212%,452,234%,146%,106%,294,152%,95%,69%
"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457","267,359","56,108","12,174","3,741",339%,187%,129%,"1,870",170%,93%,64%,"1,220",111%,61%,42%,812,504%,301%,214%,406,252%,150%,107%,265,165%,98%,70%
"Alexandria, LA",917,43,402,660,20,31,"221,597","44,519","44,319","9,266","2,002",618,154%,94%,67%,309,77%,47%,34%,201,50%,30%,22%,133,665%,429%,309%,67,335%,216%,156%,44,220%,142%,102%
"Allentown, PA","3,267",334,"1,267","2,267",143,238,"960,572","207,376","192,114","40,442","8,807","2,696",213%,119%,83%,"1,348",106%,59%,41%,879,69%,39%,27%,587,410%,247%,176%,294,206%,124%,88%,191,134%,80%,57%
"Altoona, PA",555,61,234,394,27,44,"234,560","56,483","46,912","9,986","2,203",666,285%,169%,120%,333,142%,85%,60%,217,93%,55%,39%,147,544%,334%,241%,73,270%,166%,120%,48,178%,109%,79%
"Amarillo, TX","1,236",194,678,957,79,137,"332,671","61,267","66,534","13,806","2,955",920,136%,96%,74%,460,68%,48%,37%,300,44%,31%,24%,197,249%,144%,102%,98,124%,72%,51%,64,81%,47%,33%
"Anchorage, AK","1,583",130,533,"1,058",55,93,"551,912","74,327","110,382","22,385","4,656","1,492",280%,141%,94%,746,140%,71%,47%,487,91%,46%,31%,310,564%,333%,238%,155,282%,167%,119%,101,184%,109%,78%
"Ann Arbor, MI","3,014",406,876,"1,945",122,264,"1,115,589","209,105","223,118","46,365","9,942","3,091",353%,159%,103%,"1,546",176%,79%,51%,"1,008",115%,52%,33%,663,543%,251%,163%,331,271%,125%,82%,216,177%,82%,53%
"Appleton, WI",448,72,222,335,37,54,"254,546","52,373","50,909","10,668","2,310",711,320%,212%,159%,356,160%,106%,79%,232,105%,69%,52%,154,416%,285%,214%,77,208%,143%,107%,50,135%,93%,69%
"Arlington, VA","3,116",450,995,"2,055",173,312,"1,909,537","270,129","381,907","77,695","16,225","5,180",521%,252%,166%,"2,590",260%,126%,83%,"1,689",170%,82%,54%,"1,082",625%,347%,240%,541,313%,173%,120%,353,204%,113%,78%
