County,FileNumber,ProviderName,Bed Census,Available,Available Capacity,Total Staffed Bed Capacity
Grand Total,Total,Total,"36,234","22,452",38.26%,"58,686"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,673,373,35.66%,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,312,123,28.28%,435
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,45,5,10.00%,50
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,41,40,49.38%,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,42,6,12.50%,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,4,7,63.64%,11
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,558,55,8.97%,613
BAY,100026,ASCENSION SACRED HEART BAY,72,54,42.86%,126
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,158,71,31.00%,229
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,51,35,40.70%,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,46,10,17.86%,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0,0,,0
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,297,211,41.54%,508
BREVARD,100028,PARRISH MEDICAL CENTER,68,92,57.50%,160
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,77,25,24.51%,102
BREVARD,100177,CAPE CANAVERAL HOSPITAL,61,79,56.43%,140
BREVARD,104024,"CIRCLES OF CARE, INC",32,20,38.46%,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,50,16,24.24%,66
BREVARD,110036,DEVEREUX FLORIDA,100,0,0.00%,100
BREVARD,120007,PALM BAY HOSPITAL,58,24,29.27%,82
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,29,34,53.97%,63
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,39,21,35.00%,60
BREVARD,23960092,VIERA HOSPITAL,46,36,43.90%,82
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,20,24,54.55%,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,497,320,39.17%,817
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,309,40,11.46%,349
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,81,38,31.93%,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,130,76,36.89%,206
BROWARD,100073,HOLY CROSS HOSPITAL,180,168,48.28%,348
BROWARD,100086,BROWARD HEALTH NORTH,189,6,3.08%,195
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,39,13,25.00%,52
BROWARD,100167,PLANTATION GENERAL HOSPITAL,120,144,54.55%,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,170,85,33.33%,255
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,95,18,15.93%,113
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,157,6,3.68%,163
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,136,181,57.10%,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,217,158,42.13%,375
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,168,82,32.80%,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,104,14,11.86%,118
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,8,18,69.23%,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,83,26,23.85%,109
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,346,4,1.14%,350
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,23,27,54.00%,50
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92,12,11.54%,104
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,114,57,33.33%,171
BROWARD,111527,MEMORIAL HOSPITAL WEST,254,60,19.11%,314
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,90,162,64.29%,252
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,5,5,50.00%,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,96,57,37.25%,153
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,112,117,51.09%,229
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,133,120,47.43%,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,121,83,40.69%,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,47,53,53.00%,100
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,45,0,0.00%,45
CLAY,100226,ORANGE PARK MEDICAL CENTER,289,56,16.23%,345
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,66,39,37.14%,105
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,190,23,10.80%,213
COLLIER,110043,"WILLOUGH AT NAPLES, THE",54,30,35.71%,84
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,187,52,21.76%,239
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,103,2,1.90%,105
