County,FileNumber,ProviderName,Bed Census,Available,Available Capacity,Total Staffed Bed Capacity
Grand Total,Total,Total,"45,387","15,019",24.86%,"60,406"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,862,184,17.59%,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,391,44,10.11%,435
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,55,0,0.00%,55
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,55,26,32.10%,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,42,6,12.50%,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,3,9,75.00%,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,529,84,13.70%,613
BAY,100026,ASCENSION SACRED HEART BAY,118,44,27.16%,162
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,200,31,13.42%,231
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,51,35,40.70%,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,47,9,16.07%,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0,0,,0
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,428,80,15.75%,508
BREVARD,100028,PARRISH MEDICAL CENTER,93,55,37.16%,148
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,138,47,25.41%,185
BREVARD,100177,CAPE CANAVERAL HOSPITAL,76,64,45.71%,140
BREVARD,104024,"CIRCLES OF CARE, INC",32,20,38.46%,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,58,8,12.12%,66
BREVARD,110036,DEVEREUX FLORIDA,100,0,0.00%,100
BREVARD,120007,PALM BAY HOSPITAL,84,31,26.96%,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,46,26,36.11%,72
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,39,21,35.00%,60
BREVARD,23960092,VIERA HOSPITAL,63,27,30.00%,90
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,24,20,45.45%,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,586,284,32.64%,870
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,413,35,7.81%,448
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,84,35,29.41%,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,219,11,4.78%,230
BROWARD,100073,HOLY CROSS HOSPITAL,229,119,34.20%,348
BROWARD,100086,BROWARD HEALTH NORTH,202,15,6.91%,217
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,33,20,37.74%,53
BROWARD,100167,PLANTATION GENERAL HOSPITAL,152,112,42.42%,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,217,72,24.91%,289
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,116,27,18.88%,143
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,177,16,8.29%,193
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,151,166,52.37%,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,187,188,50.13%,375
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,156,94,37.60%,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,113,14,11.02%,127
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,5,21,80.77%,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,85,25,22.73%,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,310,0,0.00%,310
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,40,0,0.00%,40
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92,2,2.13%,94
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,143,13,8.33%,156
BROWARD,111527,MEMORIAL HOSPITAL WEST,359,41,10.25%,400
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,136,42,23.60%,178
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,6,4,40.00%,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,158,85,34.98%,243
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,147,80,35.24%,227
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,155,98,38.74%,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,136,68,33.33%,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,84,36,30.00%,120
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,44,0,0.00%,44
CLAY,100226,ORANGE PARK MEDICAL CENTER,301,37,10.95%,338
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,84,21,20.00%,105
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,241,27,10.07%,268
COLLIER,110043,"WILLOUGH AT NAPLES, THE",67,16,19.28%,83
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,219,48,17.98%,267
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,103,2,1.90%,105
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,96,4,4.00%,100
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,30,21,41.18%,51
COLUMBIA,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,36,9,20.00%,45
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,103,0,0.00%,103
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,34,21,38.18%,55
DUVAL,100001,UF HEALTH JACKSONVILLE,419,184,30.51%,603
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,293,217,42.55%,510
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,429,85,16.54%,514
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,91,111,54.95%,202
DUVAL,100151,MAYO CLINIC,285,19,6.25%,304
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,339,160,32.06%,499
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,132,7,5.04%,139
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,11,11,50.00%,22
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,60,24,28.57%,84
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,214,162,43.09%,376
DUVAL,23960061,WEKIVA SPRINGS,70,59,45.74%,129
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,102,141,58.02%,243
DUVAL,23960123,UF HEALTH NORTH,80,12,13.04%,92
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,141,72,33.80%,213
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,357,136,27.59%,493
ESCAMBIA,100093,BAPTIST HOSPITAL,243,118,32.69%,361
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,305,108,26.15%,413
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,60,15,20.00%,75
