State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
AK,"1,583",130,0.66,0.58,533,"1,058",55,93,"552,319","74,340","331,391","67,202","13,976","4,480",841%,423%,283%,"2,240",420%,212%,142%,"1,461",274%,138%,92%,932,1695%,1002%,717%,466,847%,501%,358%,304,553%,327%,234%
AL,"13,959","1,870",0.64,0.68,"4,994","9,476",606,"1,238","3,748,089","762,032","2,248,853","470,718","101,816","31,381",628%,331%,225%,"15,691",314%,166%,112%,"10,233",205%,108%,73%,"6,788",1120%,548%,363%,"3,394",560%,274%,181%,"2,213",365%,179%,118%
AR,"8,428",856,0.52,0.58,"4,069","6,248",362,609,"2,272,226","476,167","1,363,336","286,175","62,109","19,078",469%,305%,226%,"9,539",234%,153%,113%,"6,221",153%,100%,74%,"4,141",1144%,680%,484%,"2,070",572%,340%,242%,"1,350",373%,222%,158%
AZ,"12,868","1,742",0.62,0.53,"4,938","8,903",814,"1,278","5,187,520","1,106,362","3,112,512","654,440","142,316","43,629",884%,490%,339%,"21,815",442%,245%,170%,"14,227",288%,160%,111%,"9,488",1166%,742%,545%,"4,744",583%,371%,272%,"3,094",380%,242%,178%
CA,"68,554","8,131",0.67,0.58,"22,831","45,692","3,381","5,756","29,868,127","5,148,448","17,920,876","3,698,428","786,338","246,562",1080%,540%,360%,"123,281",540%,270%,180%,"80,401",352%,176%,117%,"52,423",1551%,911%,645%,"26,211",775%,455%,322%,"17,094",506%,297%,210%
CO,"9,620","1,264",0.58,0.6,"4,033","6,826",500,882,"4,185,186","707,396","2,511,112","517,433","109,804","34,496",855%,505%,359%,"17,248",428%,253%,179%,"11,249",279%,165%,117%,"7,320",1464%,830%,579%,"3,660",732%,415%,290%,"2,387",477%,271%,189%
CT,"6,894",731,0.76,0.61,"1,643","4,269",285,508,"2,831,746","575,757","1,699,048","355,637","76,924","23,709",1443%,555%,344%,"11,855",722%,278%,172%,"7,731",471%,181%,112%,"5,128",1799%,1009%,702%,"2,564",900%,505%,351%,"1,672",587%,329%,229%
DC,"2,405",401,0.72,0.6,671,"1,538",159,280,"554,333","79,769","332,600","67,741","14,167","4,516",673%,294%,188%,"2,258",337%,147%,94%,"1,473",220%,96%,61%,944,594%,337%,235%,472,297%,169%,118%,308,194%,110%,77%
DE,"1,864",249,0.72,0.75,516,"1,190",63,156,"739,679","160,565","443,807","93,476","20,369","6,232",1208%,524%,334%,"3,116",604%,262%,167%,"2,032",394%,171%,109%,"1,358",2156%,871%,545%,679,1078%,435%,273%,443,703%,284%,178%
FL,"51,190","6,226",0.66,0.67,"17,651","34,421","2,044","4,135","16,166,865","3,926,889","9,700,119","2,066,855","456,495","137,790",781%,400%,269%,"68,895",390%,200%,135%,"44,932",255%,131%,88%,"30,433",1489%,736%,489%,"15,216",744%,368%,244%,"9,924",486%,240%,159%
