County,FileNumber,ProviderName,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Total AdultICU Capacity,Pediatric ICU Census,Available Pediatric ICU,Available Pediatric ICU%,Total PediatricICU Capacity
Grand Total,Total,Total,"4,228","1,885",30.84%,"6,113",344,213,38.24%,557
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,219,41,15.77%,260,31,16,34.04%,47
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,45,3,6.25%,48,0,0,,0
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,0,0,,0,0,0,,0
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0,0,,0,0,0,,0
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,0,0,,0,0,0,,0
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,0,0,,0,0,0,,0
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,0,0,,0,0,0,,0
BAY,100026,ASCENSION SACRED HEART BAY,23,19,45.24%,42,0,0,,0
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,20,0,0.00%,20,3,1,25.00%,4
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,0,0,,0,0,0,,0
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0,0,,0,0,0,,0
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0,0,,0,0,0,,0
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,51,7,12.07%,58,0,0,,0
BREVARD,100028,PARRISH MEDICAL CENTER,6,18,75.00%,24,0,0,,0
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,12,7,36.84%,19,0,0,,0
BREVARD,100177,CAPE CANAVERAL HOSPITAL,7,5,41.67%,12,0,0,,0
BREVARD,104024,"CIRCLES OF CARE, INC",0,0,,0,0,0,,0
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,,0,0,0,,0
BREVARD,110036,DEVEREUX FLORIDA,0,0,,0,0,0,,0
BREVARD,120007,PALM BAY HOSPITAL,8,4,33.33%,12,0,0,,0
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,7,5,41.67%,12,0,0,,0
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,7,1,12.50%,8,0,0,,0
BREVARD,23960092,VIERA HOSPITAL,13,5,27.78%,18,0,0,,0
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,0,0,,0,0,0,,0
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,56,16,22.22%,72,19,3,13.64%,22
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,39,5,11.36%,44,0,6,100.00%,6
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,7,1,12.50%,8,0,0,,0
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,30,18,37.50%,48,0,0,,0
BROWARD,100073,HOLY CROSS HOSPITAL,22,20,47.62%,42,3,9,75.00%,12
BROWARD,100086,BROWARD HEALTH NORTH,25,10,28.57%,35,0,0,,0
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,5,3,37.50%,8,0,0,,0
BROWARD,100167,PLANTATION GENERAL HOSPITAL,6,8,57.14%,14,3,5,62.50%,8
BROWARD,100189,NORTHWEST MEDICAL CENTER,12,18,60.00%,30,0,0,,0
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,3,4,57.14%,7,0,0,,0
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,35,1,2.78%,36,0,0,,0
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,10,5,33.33%,15,0,0,,0
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,0,0,,0,0,0,,0
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,22,13,37.14%,35,0,0,,0
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,11,1,8.33%,12,0,0,,0
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,0,0,,0,0,0,,0
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0,0,,0,0,0,,0
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,,0,0,0,,0
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0,0,,0,0,0,,0
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0,0,,0,0,0,,0
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,11,3,21.43%,14,0,5,100.00%,5
BROWARD,111527,MEMORIAL HOSPITAL WEST,32,3,8.57%,35,0,0,,0
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,8,10,55.56%,18,0,0,,0
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,0,0,,0,0,0,,0
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,6,11,64.71%,17,0,0,,0
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,16,5,23.81%,21,0,0,,0
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,19,0,0.00%,19,0,0,,0
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,13,11,45.83%,24,0,0,,0
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,12,4,25.00%,16,0,0,,0
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,5,0,0.00%,5,0,0,,0
