County,COVID Hospitalizations
ALACHUA,119
BAKER,33
BAY,80
BRADFORD,0
BREVARD,142
BROWARD,"1,199"
CALHOUN,2
CHARLOTTE,37
CITRUS,24
CLAY,78
COLLIER,195
COLUMBIA,20
DESOTO,5
DUVAL,489
ESCAMBIA,175
FLAGLER,16
FRANKLIN,0
GADSDEN,3
GULF,2
HARDEE,0
HENDRY,3
HERNANDO,97
HIGHLANDS,65
HILLSBOROUGH,465
HOLMES,1
INDIAN RIVER,28
JACKSON,34
LAKE,134
LEE,258
LEON,71
MADISON,1
MANATEE,114
MARION,61
MARTIN,35
MIAMI-DADE,"1,904"
MONROE,7
NASSAU,5
OKALOOSA,47
OKEECHOBEE,17
ORANGE,625
OSCEOLA,175
PALM BEACH,633
PASCO,132
PINELLAS,428
POLK,299
PUTNAM,15
SANTA ROSA,21
SARASOTA,142
SEMINOLE,171
ST. JOHNS,32
ST. LUCIE,138
SUMTER,30
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,143
WALTON,7
WASHINGTON,4
All,"8,961"
