County,COVID Hospitalizations
ALACHUA,119
BAKER,33
BAY,80
BRADFORD,0
BREVARD,140
BROWARD,"1,184"
CALHOUN,2
CHARLOTTE,37
CITRUS,24
CLAY,67
COLLIER,201
COLUMBIA,20
DESOTO,5
DUVAL,489
ESCAMBIA,175
FLAGLER,16
FRANKLIN,0
GADSDEN,3
GULF,2
HARDEE,0
HENDRY,3
HERNANDO,97
HIGHLANDS,65
HILLSBOROUGH,419
HOLMES,1
INDIAN RIVER,37
JACKSON,34
LAKE,132
LEE,258
LEON,71
MADISON,1
MANATEE,114
MARION,31
MARTIN,35
MIAMI-DADE,"1,728"
MONROE,21
NASSAU,5
OKALOOSA,47
OKEECHOBEE,17
ORANGE,609
OSCEOLA,180
PALM BEACH,506
PASCO,132
PINELLAS,413
POLK,307
PUTNAM,16
SANTA ROSA,21
SARASOTA,142
SEMINOLE,172
ST. JOHNS,32
ST. LUCIE,138
SUMTER,30
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,143
WALTON,7
WASHINGTON,4
All,"8,565"
