hifld_id,dh_id,hcris_id
93,,360086
134,4006,500072
100614,,400117
100801,,480001
173159,,370203
200820,4316,
401608,,220176
413790,5594,
460160,,140008
500674,,400132
527103,,340148
584535,,461308
596950,4268,
606904,651,
628801,,340002
785302,,34024
800694,,400115
827401,2780,
861614,1153,
889119,4621,
921287,1781,210009
933180,,100131
983686,1013,
1000676,,400111
1102118,1837,220031
1200000,249,40019
1222401,,490022
1257301,,430013
1389521,,290049
1400681,,400103
1440391,1542,
1444890,2949,361310
1500681,,400014
1528541,,340042
1587102,4792,
1800683,,400021
1821239,,210056
1871753,,40067
2154235,,521358
2239773,2104,
2400733,,400003
2600731,,400113
2624970,4077,510002
2720707,,210003
2739452,,250036
2800733,,400044
2900960,,400109
3000960,,400032
3029574,,420055
3100674,,400102
3122042,3930,
3660628,1079,
3700737,,400013
3721215,,210012
3846360,,150015
3866160,1525,
3900792,,400005
3943545,,361309
3949738,,230058
3957785,3435,
3997225,,380004
3999216,,500119
4002062,,220126
4019118,,390026
4038655,2130,250034
4040202,,180040
4049829,,231337
4100791,,400007
4129406,,420079
4220110,,490045
4267846,,170023
4289027,2426,
4300922,,400127
4354923,4155,
4435631,68,10006
4440204,4623,
4458601,,351336
4487740,,321307
4541101,,180009
4553566,,520028
4667005,,170150
4800909,,400019
4824153,,490048
4884078,3892,
4900919,,400128
4960099,,140100
4971105,5983,
5247112,,151331
5270601,1630,
5398206,4051,
5460625,1058,
5514607,,330285
5557070,,431328
5600922,4307,400106
5700919,,400012
5768198,2355,
5951449,,161350
6000919,,400016
6035660,63,10019
6127611,,340073
6147905,,150173
6156716,,241320
6157105,3437,430016
6260612,1054,
6385008,5578,
6426155,,510072
6454143,,520113
6470748,,194008
6500738,4281,
6536867,,10168
6600738,5886,400131
6628374,,340115
6646350,1253,
6733326,714,
6785541,,31318
6800910,,400006
6844115,,360037
6929425,3363,
7253226,4173,
7327565,5907,
7385260,,30087
7449855,1906,
7624541,,490075
7642303,1547,180038
7677833,,450187
7707840,,310115
7898368,,501323
8001805,1819,220171
8173102,,370037
8355767,1983,241350
8598944,,501330
8608002,,310086
8648439,1874,230197
8660649,1037,
8729201,,420086
8752245,1364,
8908043,,310022
8946176,,150097
8956156,,241371
9098101,4033,
9154568,,520091
9262226,1164,
9470443,,191321
9623847,,490097
9663851,2239,
9960048,1119,140202
10078613,,670043
10230143,961,110225
10328722,,341322
10370427,,190312
10454024,,521337
10471103,,190098
10743210,,360085
10947586,,151322
11261354,1124,
11423298,3988,490032
11635125,91,10130
11723970,,490098
11752501,,160089
11849464,,230003
11851566,,161363
11935233,64,
11942003,1584,
12123413,3947,490037
12730114,,110008
12748060,,230031
12963141,,260162
13147170,1286,
14175235,3633,450015
14353066,5618,
14448109,,230046
14948202,,230053
15310466,5587,
15363110,,263301
15399204,4053,
15598271,,504012
15710451,,330080
15871269,1685,190151
15976201,,450743
16147804,1298,
16371334,4477,
18064804,,260001
18363901,2187,
18919128,,394027
19294611,271,50075
19391402,324,
19594590,,50073
19616335,,390113
19676104,,453300
19918017,3278,
20133611,4447,
20176101,3816,450137
20311355,2685,
20394903,,50510
21276104,3809,
21518015,,390049
21690242,,50139
22618105,,390133
23019104,,393303
24790033,424,
26777030,,450289
27919129,,394053
28070112,1672,190005
29332806,,100006
29977342,5597,
30791016,5890,
32778364,,450163
32877339,,670005
33177339,,450775
33192708,427,
33932958,,100217
35032610,694,
36034758,5908,
36232068,,100321
39292220,,50054
43590026,,50763
43793065,,50236
43932935,,100291
43995476,,50090
44175080,,450537
44492562,4323,
44775032,,670044
45094109,503,50152
49175092,,452041
49193561,305,51301
57875235,3627,
67785724,182,
70494117,500,
72778654,5863,
73878130,6034,
102442431,1568,
103921014,,210049
109507675,5751,
110408244,,310047
110508536,,310010
121514081,,330132
126144308,,363303
127543210,2919,
129245342,,360239
130245211,,360234
131174820,,370020
133697801,5193,
134475071,,670082
134878207,,453315
153881501,629,60054
155180045,,60024
159770121,1655,
169079911,6170,
169177385,6113,
178432765,6243,
180696929,,650003
