hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,location,county_name,emergency_services,geocode_accuracy,geocode_flag,statecountyfips,cbsa_name,cbsa_code,phone_number,state,url,zip_code,provider_id_int,provider_id_raw,RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899_infped,extra_0899_adult,all_adult_icu_beds,coronary_beds_0900,extra_0999_infped,extra_0999_adult,burn_beds_1000,extra_1099_infped,extra_1099_adult,surg_icu_beds_1100,extra_1199_infped,extra_1199_adult,oth_spec_beds_1200,extra_1299_infped,extra_1299_adult,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899_infped,extra_days_0899_adult,all_adult_icu_bed_days,coronary_bed_days_0900,extra_days_0999_infped,extra_days_0999_adult,burn_bed_days_1000,extra_days_1099_infped,extra_days_1099_adult,oth_spec_bed_days_1100,extra_days_1199_infped,extra_days_1199_adult,oth_spec_bed_days_1200,extra_days_1299_infped,extra_days_1299_adult,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,all_adult_icu_utilization,subtotal_acute_utilization,interns_residents,payroll_employees
PORTERVILLE DEVELOPMENTAL CENTER,Government - State,Acute Care Hospitals,36.0439080,-118.9804830,26501 AVENUE 140,PORTERVILLE,,TULARE,FALSE,,0,06107,"Visalia, CA",47300,(559) 782-2222,CA,https://data.medicare.gov/resource/xubh-q36u/row-8jhm_m9d6-frtp,93257,50546,50546,638174,10,50546,1,2018-11-27,2017-07-01,2018-06-30,2017,364,t,44,,,,0,,,,,,,,,,,,,44,,,,,,1182,,1226,,811,,,,0,,,,,,,,,,,,,811,,,,,,102691,,,,,5.0000,,938.9000
RANDOLPH HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.7119580,-79.8148250,364 WHITE OAK STREET,ASHEBORO,,RANDOLPH,TRUE,,0,37151,"Greensboro-High Point, NC",24660,(336) 625-5151,NC,https://data.medicare.gov/resource/xubh-q36u/row-ixf6-gq86-pf9f,27204,340123,340123,643429,2,340123,1,2019-02-26,2017-10-01,2018-09-30,2018,364,t,133,12,,,12,,,,,,,,,,,,,145,,,,,,,,145,,11972,1639,,,1639,,,,,,,,,,,,,14712,,,,,,,,4208,,37.0000,27.0000,,742.9300
REDMOND REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.2781910,-85.1941310,501 REDMOND ROAD,ROME,,FLOYD,TRUE,,0,13115,"Rome, GA",40660,(706) 802-3012,GA,https://data.medicare.gov/resource/xubh-q36u/row-z5aw~bjka~vbtd,30165,110168,110168,659773,4,110168,1,2019-11-25,2018-07-01,2019-06-30,2018,364,t,168,16,,,16,24,,,,,,,,,,,,208,,20,,,,,,228,,40648,4687,,,4687,4444,,,,,,,,,,,,49779,,5048,,,,,,9483,,80.0000,65.0000,39.5200,1068.1000
PHYSICIAN'S CARE SURGICAL HOSPITAL,Physician,Acute Care Hospitals,40.2167860,-75.5537070,454 ENTERPRISE DRIVE,ROYERSFORD,,MONTGOMERY,FALSE,,0,42091,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,(610) 495-4793,PA,https://data.medicare.gov/resource/xubh-q36u/row-xf95-5spw~uirp,19468,390324,390324,646044,4,390324,1,2019-04-01,2017-11-01,2018-10-31,2018,364,t,12,,,,0,,,,,,,,,,,,,12,,,,,,,,12,,1640,,,,0,,,,,,,,,,,,,1640,,,,,,,,116,,,37.0000,,84.1100
HSHS GOOD SHEPHERD HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,39.4058010,-88.8071130,200 S CEDAR ST,SHELBYVILLE,,SHELBY,TRUE,,0,17173,,,(217) 774-3961,IL,https://data.medicare.gov/resource/xubh-q36u/row-rw3c-7r3v.5ma9,62565,140019,140019,660512,2,140019,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,30,,,,0,,,,,,,,,,,,,30,,,,,,,,30,,1385,,,,0,,,,,,,,,,,,,1385,,,,,,,,363,,,12.0000,,133.6800
HARMON HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,36.1073690,-115.1219920,2170 EAST HARMON AVENUE,LAS VEGAS,,CLARK,FALSE,,0,32003,"Las Vegas-Henderson-Paradise, NV",29820,(702) 794-0100,NV,https://data.medicare.gov/resource/xubh-q36u/row-qtzp-aczd_sysf,89119,290042,290042,629833,4,290042,2,2018-05-31,2017-01-01,2017-12-31,2017,364,t,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCTORS CENTER HOSPITAL BAYAMON,Proprietary,Acute Care Hospitals,,,9 J STREET EXT HERMANAS DAVILA,BAYAMON,,BAYAMON,TRUE,,1,,,,(787) 622-5420,PR,https://data.medicare.gov/resource/xubh-q36u/row-hgvv.mh7i-bzfv,959,400102,400102,649951,4,400102,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,140,6,,,6,,,,,,,,,,,,,146,,,,,,,,146,10,43571,1609,,,1609,,,,,,,,,,,,,45708,,,,,,,,,,73.0000,86.0000,,453.8300
MINDEN MEDICAL CENTER,Proprietary,Acute Care Hospitals,32.6172391,-93.2863556,NO 1 MEDICAL PLAZA,MINDEN,,WEBSTER,TRUE,ROOFTOP,1,22119,"Minden, LA",33380,(318) 377-2321,LA,https://data.medicare.gov/resource/xubh-q36u/row-zn8k~yqhx.sjt5,71055,190144,190144,657128,4,190144,1,2019-01-03,2017-09-01,2018-07-31,2017,333,t,113,10,2,,10,,,,,,,,,,,,,125,20,12,,,,,,157,4,8351,1139,68,,1139,,,,,,,,,,,,,10668,2105,1384,,,,,,1228,,34.0000,25.0000,,352.3700
CENTRAL CAROLINA HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.4690930,-79.1888000,1135 CARTHAGE ST,SANFORD,,LEE,TRUE,,0,37105,"Sanford, NC",41820,(919) 774-2100,NC,https://data.medicare.gov/resource/xubh-q36u/row-4ux9-ub5p.k2rs,27330,340020,340020,650334,4,340020,1,2019-06-04,2018-01-01,2018-12-31,2018,364,t,118,8,,,8,,,,,,,,,,1,,,127,,,,,,,,127,7,12408,1739,,,1739,,,,,,,,,,53,,,15736,,,,,,,,1817,,59.0000,34.0000,,512.2900
SCHNECK MEDICAL CENTER,Government - Local,Acute Care Hospitals,38.9567340,-85.8913560,411 W TIPTON ST,SEYMOUR,,JACKSON,TRUE,,0,18071,"Seymour, IN",42980,(812) 522-2349,IN,https://data.medicare.gov/resource/xubh-q36u/row-4xmk-877m-humv,47274,150065,150065,648683,8,150065,1,2019-05-28,2018-01-01,2018-12-31,2018,364,t,84,7,,,7,,,,,,,,,,,,,91,,,,,,,2,93,,7674,1061,,,1061,,,,,,,,,,,,,10213,,,,,,,407,2271,,41.0000,30.0000,,865.7900
