adm1_code,adm0_a3,population,density,min,max,mean,median,mode,stddev
THA-443,THA,988814,0,0.09806898275488302,135.43295288085938,0.9600804028432555,0.09806898275488302,0.7223305351190205,2.120569565526601
NRU-4979,NRU,0,0,null,null,null,null,null,null
GAZ+00?,PSX,2086350,6,1.2536864195551194,468.0810089111328,49.23540135298015,11.11167763549646,4.478030345994291,77.49904132633245
MKD-2999,MKD,7802,0,0.004690777976065874,2.9547515710194907,0.3124464485401124,0.16647952722981196,0.1564656045518874,0.33762975115325566
SVN-204,SVN,8926,0,0.08420614238425964,9.00466251373291,0.4309735656196605,0.08420614238425964,0.13014381484032855,0.7375048630116385
VNM-480,VNM,1423156,0,0.07404954208772052,127.11640930175781,1.1997447495824023,0.07404954208772052,0.4204366096859944,3.224886824723948
SOM-2413,SOM,191782,0,0.009157181717455387,0.5552301406860352,0.05454654770252058,0.03854051029310745,0.03562325782019087,0.0421972546565791
MKD-2909,MKD,93232,0,0.02687755282968283,20.375566482543945,2.736265501158973,1.0533679152681537,0.5009755388367495,3.4675920660845425
THA-390,THA,2038984,0,0.015184412314373206,66.96608276367188,0.7261311723399465,0.015184412314373206,0.23938714953066356,2.4704036381342878
ARG-1305,ARG,1593830,0,0.00170496179331094,78.26709747314453,0.533830002262689,0.00170496179331094,0.06987655160667518,3.701981654681376
SOM-1,SOM,583189,0,0.007046040774654252,3.832161823908488,0.07021995858570475,0.007046040774654252,0.03404570152208136,0.10895686025106927
MDV-5237,MDV,0,0,null,null,null,null,null,null
BWA-5504,BWA,29670,0,0.34858936071395874,24.7004337310791,6.643692262460712,1.3025683384779456,1.1490475001803329,7.745367134192255
IRQ-3242,IRQ,2264284,0,0.05472162554152976,20.002983729044598,0.925361026499781,0.28094245628146053,0.17493881153667867,1.8399266676274866
SVN-230,SVN,1780,0,0.05539309219099008,2.966217279434204,0.412335929962504,0.27579216183845806,0.14556950471568392,0.3666430155582849
BWA-5506,BWA,2772,0,0.006705289041357381,0.6603638827800751,0.06413422300135514,0.017553521787873283,0.01076621137884989,0.10886624383045124
SYC-5197,SYC,53,0,0.007523294351994991,0.03527451306581497,0.017291589674172103,0.02036978903448299,0.007730765302407708,0.007813643935600502
FRA-5284,FRA,123187,0,0.04749502118874585,32.87893772125244,0.1313882885995701,0.04749502118874585,0.07532056492841444,0.5477095961809402
CRI-1327,CRI,538617,0,0.020647946745157242,84.74203872680664,1.4575298875064227,0.020647946745157242,0.16136601567268333,5.8027634432052695
ITA-5390,ITA,371782,0,0.0,639.3603515625,0.36636962011362145,0.0,0.04391656014355284,4.03614855496602
JPN-3501,JPN,1433468,0,0.019021352753043175,101.30332946777344,1.3927334027472995,0.019021352753043175,0.4326978722523341,4.221378828475349
LSO-1211,LSO,99970,0,5.293713507449462E-4,11.446283340454102,0.43193891672870166,0.12286979865913163,0.14551155282487113,0.7179267546482311
DZA-2208,DZA,1029224,0,0.03131216329832872,100.09783935546875,2.0365529235848023,0.03131216329832872,0.33167971603737495,5.566374554114669
FRA-5348,FRA,153424,0,0.016185149210302723,57.04822812761579,1.3460294931458834,0.016185149210302723,0.27096226313749316,3.9814252806381325
KWT-3506,KWT,756241,12,39.82747745513916,104.97136688232422,96.55315941498606,96.24477636063119,95.98960167799538,6.0020513046768
BFA-2835,BFA,195504,0,0.08416565109865137,4.0420308113098145,0.5107852554254909,0.3875350731411273,0.1938753818456882,0.344229613214661
BGR-2237,BGR,153786,0,0.0034475103557969513,8.755761623382568,0.24182407536814557,0.0034475103557969513,0.07593691030521736,0.5740949878215736
GBR-2047,GBR,562820,0,0.0031610531732439995,132.63783264160156,0.8884767117737281,0.0031610531732439995,0.16694835211128572,3.9634204925835617
BFA-2822,BFA,203305,0,0.07903696735925107,3.2956702709198,0.46337124539645425,0.35606658705533145,0.38320996723045647,0.30758669469298555
GRC-2892,GRC,277018,0,0.0,93.53400421142578,0.1906102848714642,0.0,0.07783401852184879,1.6223222217610564
MYS-1148,MYS,7348736,0,0.09268651258621538,171.31940460205078,8.151251879268045,0.09268651258621538,0.6062788067487964,18.063702075951593
GIN-5650,GIN,139119,0,0.059175796806812286,12.278334617614746,0.4081696034138838,0.18485570602253626,0.14536615061287186,0.5022864424907749
BIH-2226,BIH,242054,0,0.011153503469276158,8.089693069458008,0.4361398658658297,0.09060874313858398,0.07090994099722701,0.8438441112376104
SLV-1346,SLV,910067,0,0.345995157957077,48.9161491394043,4.405187802972517,0.937046904627695,0.7465479152279171,7.622700432059004
KHM-1780,KHM,507467,0,0.004602228873409331,53.502838134765625,0.3640262161688706,0.004602228873409331,0.15326486504437958,0.8617785699150913
IRN-3216,IRN,13076666,0,0.015126723796129227,105.7265388852074,6.320905702673529,0.015126723796129227,0.2064933257114716,17.796271606160097
IND-3299,IND,1709790,0,0.0,62.135562896728516,0.15789185477279957,0.0,0.07270101054328616,0.6817493744280465
LVA-4849,LVA,71763,0,0.17117830775032147,11.046186447143555,4.526236843457548,3.6297784990041846,0.17117830775032147,3.643094803276578
BGR-2255,BGR,125789,0,0.011472082934768146,13.379149834314982,0.18245087373900212,0.011472082934768146,0.04913654288121743,0.8751069248729502
KHM-1786,KHM,1645327,0,0.20634232251601806,174.1967010498047,3.89705195225316,1.69843476205217,0.9782878489463457,5.8515327441178835
CAF-867,CAF,79229,0,1.0532107262406498E-4,4.4049724578857425,0.012110665265094548,1.0532107262406498E-4,0.00429029915274056,0.08155425722147452
BFA-2820,BFA,325218,0,0.07625662535429001,5.386498769124349,0.3915017935557167,0.2525881182875991,0.18659158142309576,0.3078758107002789
RUS-2393,RUS,2362921,0,0.002314925260309661,72.47407531738281,0.12646326321918933,0.002314925260309661,0.045670801067596065,1.1958582973306786
FRA-5267,FRA,380476,0,0.018481030965508044,36.735450744628906,0.41092088972441687,0.018481030965508044,0.10872139979719099,1.3041659099793512
GBR-2751,GBR,754076,0,0.010942929424345493,299.99029541015625,1.5324036821468603,0.010942929424345493,0.20201838519114032,6.226981994649419
MKD-2957,MKD,23449,0,0.11641208223394446,7.191962718963623,0.976039303012026,0.4620438964253495,0.17737939455970536,0.9598241098599946
BRA-596,BRA,1776971,0,0.0,431.2986145019531,0.05385124178558403,0.0,0.010496835866230245,1.3411836173790483
KOS-5911,KOS,73194,0,0.4618845321238041,2.5143318888784814,1.4186439280818857,1.3406065104173073,1.3399638365311848,0.36821317052079555
LVA-4850,LVA,115854,1,0.04744913429021835,16.84747250874837,4.85841001004936,1.5256933097879537,0.13233503755478127,5.559251552058321
SYR-144,SYR,3664815,0,0.0,295.05125427246094,1.4499158760532957,0.0,0.2220928650374767,8.343294464408116
GTM-1950,GTM,849757,0,0.2544087978040863,39.32585232074444,1.4614432342601178,0.2544087978040863,0.6110596005906483,2.473275642636286
SEN-774,SEN,827736,0,0.09231575251965041,14.020600001017252,0.49679022933922495,0.28922578817405165,0.2030452770434919,0.6073562411420663
DZA-2191,DZA,902493,0,9.534576788104864E-5,81.3537368774414,0.14156599137990622,9.534576788104864E-5,0.03949484515160144,1.4615706932640333
PRK-3311,PRK,2934118,0,0.0351010958825234,49.763790130615234,1.047985656811425,0.0351010958825234,0.22909784397482438,2.7080797192974453
BEN-2170,BEN,1217909,0,0.07128641754388809,13.945815086364746,0.38060929432903495,0.07128641754388809,0.19339834198977757,0.47136800608857704
JOR-854,JOR,1395447,0,0.05961658259411189,57.43600769042969,5.621478047704543,2.617621220925274,1.0285512476501273,7.598038558710048
ERI-1562,ERI,1026949,0,0.020948609337210655,36.25151252746582,0.2585997080475069,0.020948609337210655,0.13439705033539706,0.6957246418426338
MNE-1520,MNE,3220,0,0.0068029359810882145,1.371266484260559,0.04327118064141505,0.0068029359810882145,0.012155384344213363,0.10724630948050162
PHL-2562,PHL,2913250,0,0.018752751871943474,5010.81591796875,4.700435485381517,0.018752751871943474,1.6899272094661615,11.393232198891452
IDN-1228,IDN,5143520,0,0.004300041007809341,81.49330978393554,0.2997432895469425,0.004300041007809341,0.19218788693853642,1.380184054647109
GBR-2140,GBR,638522,0,0.0012202865909785032,238.0271453857422,0.40360326343653374,0.0012202865909785032,0.08775337263180773,2.583257613297542
TUN-98,TUN,161296,0,1.156027140885791E-4,36.91001934475369,0.029523443599358424,1.156027140885791E-4,0.014549499781095298,0.3705492669415199
CMR-1481,CMR,1073898,0,0.003957748212004927,12.799737993876139,0.08420425158618534,0.003957748212004927,0.050649441654233116,0.19901338321457193
GBR-5694,GBR,260434,2,0.016798315569758415,240.7699737548828,13.77597140578784,6.768080289074197,0.6661092305106365,15.612072729453736
DOM-1985,DOM,1038553,13,19.488426208496094,127.61473083496094,105.3911815891531,113.51534032944602,116.66108797046584,22.522162284185104
GBR-2064,GBR,292415,12,2.1557154528285527,680.8623657226562,63.52245696014226,47.459389117424074,2.1557154528285527,59.71362115972989
GBR-2065,GBR,362720,4,1.1687074812018152,455.1366882324219,22.706958330903007,13.943005451797271,1.1687074812018152,25.386197969463954
UGA-3112,UGA,166440,0,0.009302070364356041,62.31559753417969,2.747863812445923,0.8503312930631625,0.6994353545536695,4.128816183185975
MRT-2798,MRT,84048,0,5.161276598560757E-5,4.083766937255859,0.00718472692620186,5.161276598560757E-5,0.002323302559322871,0.03531422849687681
SVN-1047,SVN,17179,0,0.09823781748612721,19.463573455810547,0.5482216431024446,0.24432677382898244,0.23570501299028576,0.9767337446923604
LBR-785,LBR,242542,0,0.04778837785124779,28.02107048034668,0.2684034402740392,0.04778837785124779,0.18021477626717558,0.7612435114025717
MNE-1516,MNE,25804,0,0.010314806563472676,5.030949592590332,0.1202175132056494,0.010314806563472676,0.035274190897185344,0.38044870004150527
TUR-3031,TUR,93152,0,0.002896071644499898,27.133386611938477,0.09636063500943014,0.002896071644499898,0.026928062534722803,0.6369843025923546
PHL-2554,PHL,237196,0,0.01250995296862849,73.33525848388672,0.6577981445292383,0.01250995296862849,0.12947534952270545,1.8380094334109056
TUR-2264,TUR,3293124,0,0.010435653464125415,965.7028198242188,2.0693135215738345,0.010435653464125415,0.4982160199247385,18.218413163059193
SYC-5207,SYC,3971,0,0.5594485998153687,14.721392631530762,3.3013526330069514,2.5683275975794584,1.8503590993962045,2.22652275947581
ROU-308,ROU,745121,0,0.07829047405701173,55.077540806361604,0.7879196069499921,0.07829047405701173,0.23847430240235426,3.277929920038681
