location_name,population
Washington,7678246
New York,19766314
Ohio,11842336
Bozen,548763
Florida,22352556
Lombardia,10435458
Thuringia,1962875
Toscana,3844992
Galicia,2802849
Balearic Islands,1317029
Wisconsin,6055686
Friuli-Venezia Giulia,1276357
Veneto,5196952
Sicilia,5041681
Missouri,6475686
Virginia,9214552
Hesse,5886618
Montana,1093949
Cantabria,579749
Melilla,108984
Connecticut,3747238
Piemonte,4519841
Campania,5836898
Louisiana,4712153
New Jersey,9185536
Michigan,9870123
Maryland,6354383
South Carolina,5397882
California,41270935
Sardegna,1653848
Lazio,5928755
Oklahoma,4103090
Utah,3447814
Delaware,1035999
La Rioja,401114
Minnesota,5785850
Bavaria,12484955
Kansas,3043502
Pennsylvania,13229784
Kentucky,4687296
Brandenburg,2436133
Nevada,3704068
Saxony-Anhalt,2062856
West Virginia,1912985
Basilicata,566109
Vermont,641868
Idaho,1924016
Schleswig-Holstein,2727908
Castilla y León,2618719
Illinois,13441580
Andalucía,9349728
Saxony,3755175
Murcia,1724066
Umbria,944112
Emilia-Romagna,4695489
Liguria,764417
Georgia,11713889
Massachusetts,6749974
Oregon,4304408
Molise,308276
Extremadura,1148567
Navarre,701035
Comunidad Valenciana,5886395
Hamburg,1711613
District of Columbia,635557
Rhineland-Palatinate,4025279
Islas Canarias,2451024
South Dakota,903321
New Hampshire,1397715
Abruzzo,1356186
Berlin,3217639
Marche,1630677
Castilla-La Mancha,2492260
Arkansas,3240799
Wyoming,645947
Mecklenburg-Vorpommern,1466639
Bremen,602861
Ceuta,94509
Arizona,8105426
Alaska,808946
Lower Saxony,7619384
Saarland,974788
Hawaii,1508967
Iowa,3193603
Rhode Island,1052256
Mississippi,3156379
New Mexico,2364889
Valle d'Aosta,135434
Alabama,5191557
North Carolina,11445329
Luxembourg,293925
País Vasco,2272438
Colorado,5961508
Tennessee,7142985
North Dakota,704334
Indiana,6987686
Puglia,4084779
Maine,1387998
Nebraska,1969399
North Rhine-Westphalia,17192520
Trento,575175
Texas,30826629
Baden-Württemberg,10378391
Community of Madrid,7484144
Calabria,1922115
Asturias,1082644
Aragón,1484916
Cataluña,8763192
