HRRCITY,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,Estimated Beds Available (Conventional),Estimated Additional Ventilators Required (Conventional),Physicians Required to Staff Beds (Conventional) - Lower,Physicians Required to Staff Beds (Conventional) - Upper,Respiratory Therapists Required to Staff Beds (Conventional) - Lower,Respiratory Therapists Required to Staff Beds (Conventional) - Upper,Critical Care Nurses Required to Staff Beds (Conventional) - Lower,Critical Care Nurses Required to Staff Beds (Conventional) - Upper,Estimated Beds Available (Contingency),Estimated Additional Ventilators Required (Contingency),Physicians Required to Staff Beds (Contingency) - Lower,Physicians Required to Staff Beds (Contingency) - Upper,Respiratory Therapists Required to Staff Beds (Contingency) - Lower,Respiratory Therapists Required to Staff Beds (Contingency) - Upper,Critical Care Nurses Required to Staff Beds (Contingency) - Lower,Critical Care Nurses Required to Staff Beds (Contingency) - Upper,Estimated Beds Available (Crisis),Estimated Additional Ventilators Required (Crisis),Physicians Required to Staff Beds (Crisis) - Lower,Physicians Required to Staff Beds (Crisis) - Upper,Respiratory Therapists Required to Staff Beds (Crisis) - Lower,Respiratory Therapists Required to Staff Beds (Crisis) - Upper,Critical Care Nurses Required to Staff Beds (Crisis) - Lower,Critical Care Nurses Required to Staff Beds (Crisis) - Upper,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Population,Population (20+),Population (65+),Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)],Licensed All Beds [Per 1000 People],Licensed All Beds [Per 1000 Adults (20+)],Licensed All Beds [Per 1000 Elderly (65+)],Estimated Beds Available (Conventional) [Per 1000 People],Estimated Beds Available (Conventional) [Per 1000 Adults (20+)],Estimated Beds Available (Conventional) [Per 1000 Elderly (65+)],Estimated Additional Ventilators Required (Conventional) [Per 1000 People],Estimated Additional Ventilators Required (Conventional) [Per 1000 Adults (20+)],Estimated Additional Ventilators Required (Conventional) [Per 1000 Elderly (65+)],Physicians Required to Staff Beds (Conventional) - Lower [Per 1000 People],Physicians Required to Staff Beds (Conventional) - Lower [Per 1000 Adults (20+)],Physicians Required to Staff Beds (Conventional) - Lower [Per 1000 Elderly (65+)],Physicians Required to Staff Beds (Conventional) - Upper [Per 1000 People],Physicians Required to Staff Beds (Conventional) - Upper [Per 1000 Adults (20+)],Physicians Required to Staff Beds (Conventional) - Upper [Per 1000 Elderly (65+)],Respiratory Therapists Required to Staff Beds (Conventional) - Lower [Per 1000 People],Respiratory Therapists Required to Staff Beds (Conventional) - Lower [Per 1000 Adults (20+)],Respiratory Therapists Required to Staff Beds (Conventional) - Lower [Per 1000 Elderly (65+)],Respiratory Therapists Required to Staff Beds (Conventional) - Upper [Per 1000 People],Respiratory Therapists Required to Staff Beds (Conventional) - Upper [Per 1000 Adults (20+)],Respiratory Therapists Required to Staff Beds (Conventional) - Upper [Per 1000 Elderly (65+)],Critical Care Nurses Required to Staff Beds (Conventional) - Lower [Per 1000 People],Critical Care Nurses Required to Staff Beds (Conventional) - Lower [Per 1000 Adults (20+)],Critical Care Nurses Required to Staff Beds (Conventional) - Lower [Per 1000 Elderly (65+)],Critical Care Nurses Required to Staff Beds (Conventional) - Upper [Per 1000 People],Critical Care Nurses Required to Staff Beds (Conventional) - Upper [Per 1000 Adults (20+)],Critical Care Nurses Required to Staff Beds (Conventional) - Upper [Per 1000 Elderly (65+)],Estimated Beds Available (Contingency) [Per 1000 People],Estimated Beds Available (Contingency) [Per 1000 Adults (20+)],Estimated Beds Available (Contingency) [Per 1000 Elderly (65+)],Estimated Additional Ventilators Required (Contingency) [Per 1000 People],Estimated Additional Ventilators Required (Contingency) [Per 1000 Adults (20+)],Estimated Additional Ventilators Required (Contingency) [Per 1000 Elderly (65+)],Physicians Required to Staff Beds (Contingency) - Lower [Per 1000 People],Physicians Required to Staff Beds (Contingency) - Lower [Per 1000 Adults (20+)],Physicians Required to Staff Beds (Contingency) - Lower [Per 1000 Elderly (65+)],Physicians Required to Staff Beds (Contingency) - Upper [Per 1000 People],Physicians Required to Staff Beds (Contingency) - Upper [Per 1000 Adults (20+)],Physicians Required to Staff Beds (Contingency) - Upper [Per 1000 Elderly (65+)],Respiratory Therapists Required to Staff Beds (Contingency) - Lower [Per 1000 People],Respiratory Therapists Required to Staff Beds (Contingency) - Lower [Per 1000 Adults (20+)],Respiratory Therapists Required to Staff Beds (Contingency) - Lower [Per 1000 Elderly (65+)],Respiratory Therapists Required to Staff Beds (Contingency) - Upper [Per 1000 People],Respiratory Therapists Required to Staff Beds (Contingency) - Upper [Per 1000 Adults (20+)],Respiratory Therapists Required to Staff Beds (Contingency) - Upper [Per 1000 Elderly (65+)],Critical Care Nurses Required to Staff Beds (Contingency) - Lower [Per 1000 People],Critical Care Nurses Required to Staff Beds (Contingency) - Lower [Per 1000 Adults (20+)],Critical Care Nurses Required to Staff Beds (Contingency) - Lower [Per 1000 Elderly (65+)],Critical Care Nurses Required to Staff Beds (Contingency) - Upper [Per 1000 People],Critical Care Nurses Required to Staff Beds (Contingency) - Upper [Per 1000 Adults (20+)],Critical Care Nurses Required to Staff Beds (Contingency) - Upper [Per 1000 Elderly (65+)],Estimated Beds Available (Crisis) [Per 1000 People],Estimated Beds Available (Crisis) [Per 1000 Adults (20+)],Estimated Beds Available (Crisis) [Per 1000 Elderly (65+)],Estimated Additional Ventilators Required (Crisis) [Per 1000 People],Estimated Additional Ventilators Required (Crisis) [Per 1000 Adults (20+)],Estimated Additional Ventilators Required (Crisis) [Per 1000 Elderly (65+)],Physicians Required to Staff Beds (Crisis) - Lower [Per 1000 People],Physicians Required to Staff Beds (Crisis) - Lower [Per 1000 Adults (20+)],Physicians Required to Staff Beds (Crisis) - Lower [Per 1000 Elderly (65+)],Physicians Required to Staff Beds (Crisis) - Upper [Per 1000 People],Physicians Required to Staff Beds (Crisis) - Upper [Per 1000 Adults (20+)],Physicians Required to Staff Beds (Crisis) - Upper [Per 1000 Elderly (65+)],Respiratory Therapists Required to Staff Beds (Crisis) - Lower [Per 1000 People],Respiratory Therapists Required to Staff Beds (Crisis) - Lower [Per 1000 Adults (20+)],Respiratory Therapists Required to Staff Beds (Crisis) - Lower [Per 1000 Elderly (65+)],Respiratory Therapists Required to Staff Beds (Crisis) - Upper [Per 1000 People],Respiratory Therapists Required to Staff Beds (Crisis) - Upper [Per 1000 Adults (20+)],Respiratory Therapists Required to Staff Beds (Crisis) - Upper [Per 1000 Elderly (65+)],Critical Care Nurses Required to Staff Beds (Crisis) - Lower [Per 1000 People],Critical Care Nurses Required to Staff Beds (Crisis) - Lower [Per 1000 Adults (20+)],Critical Care Nurses Required to Staff Beds (Crisis) - Lower [Per 1000 Elderly (65+)],Critical Care Nurses Required to Staff Beds (Crisis) - Upper [Per 1000 People],Critical Care Nurses Required to Staff Beds (Crisis) - Upper [Per 1000 Adults (20+)],Critical Care Nurses Required to Staff Beds (Crisis) - Upper [Per 1000 Elderly (65+)]
AL- BIRMINGHAM,8152.0,864.0,10094.0,259,0,52,52,53,54,88,88,835,0,54,55,56,61,122,122,4556,851,70,70,219,319,1280,1280,0.55,0.7,2315316.9988184012,1739961.1292503153,394852.606387709,3.521,4.685,20.646,0.373,0.497,2.188,4.36,5.801,25.564,0.112,0.149,0.656,0.0,0.0,0.0,0.022,0.03,0.132,0.022,0.03,0.132,0.023,0.03,0.134,0.023,0.031,0.137,0.038,0.051,0.223,0.038,0.051,0.223,0.361,0.48,2.115,0.0,0.0,0.0,0.023,0.031,0.137,0.024,0.032,0.139,0.024,0.032,0.142,0.026,0.035,0.154,0.053,0.07,0.309,0.053,0.07,0.309,1.968,2.618,11.538,0.368,0.489,2.155,0.03,0.04,0.177,0.03,0.04,0.177,0.095,0.126,0.555,0.138,0.183,0.808,0.553,0.736,3.242,0.553,0.736,3.242
AL- DOTHAN,1528.0,142.0,1837.0,41,0,14,14,14,14,16,16,127,0,14,14,14,14,20,20,777,164,15,15,40,56,221,221,0.57,0.72,369294.09080028307,280166.043624067,69065.29960445061,4.138,5.454,22.124,0.385,0.507,2.056,4.974,6.557,26.598,0.111,0.146,0.594,0.0,0.0,0.0,0.038,0.05,0.203,0.038,0.05,0.203,0.038,0.05,0.203,0.038,0.05,0.203,0.043,0.057,0.232,0.043,0.057,0.232,0.344,0.453,1.839,0.0,0.0,0.0,0.038,0.05,0.203,0.038,0.05,0.203,0.038,0.05,0.203,0.038,0.05,0.203,0.054,0.071,0.29,0.054,0.071,0.29,2.104,2.773,11.25,0.444,0.585,2.375,0.041,0.054,0.217,0.041,0.054,0.217,0.108,0.143,0.579,0.152,0.2,0.811,0.598,0.789,3.2,0.598,0.789,3.2
AL- HUNTSVILLE,1754.0,163.0,1848.0,40,0,10,10,10,10,11,11,129,0,10,10,10,10,16,16,714,104,11,11,30,45,182,182,0.59,0.75,664860.7461475627,500270.6068954418,106494.60053336932,2.638,3.506,16.47,0.245,0.326,1.531,2.78,3.694,17.353,0.06,0.08,0.376,0.0,0.0,0.0,0.015,0.02,0.094,0.015,0.02,0.094,0.015,0.02,0.094,0.015,0.02,0.094,0.017,0.022,0.103,0.017,0.022,0.103,0.194,0.258,1.211,0.0,0.0,0.0,0.015,0.02,0.094,0.015,0.02,0.094,0.015,0.02,0.094,0.015,0.02,0.094,0.024,0.032,0.15,0.024,0.032,0.15,1.074,1.427,6.705,0.156,0.208,0.977,0.017,0.022,0.103,0.017,0.022,0.103,0.045,0.06,0.282,0.068,0.09,0.423,0.274,0.364,1.709,0.274,0.364,1.709
AL- MOBILE,2490.0,232.0,3131.0,84,0,18,18,18,19,31,31,271,0,19,19,20,21,41,41,1114,230,20,20,46,63,250,250,0.62,0.64,856229.6561473854,640362.2074820205,148916.73384227516,2.908,3.888,16.721,0.271,0.362,1.558,3.657,4.889,21.025,0.098,0.131,0.564,0.0,0.0,0.0,0.021,0.028,0.121,0.021,0.028,0.121,0.021,0.028,0.121,0.022,0.03,0.128,0.036,0.048,0.208,0.036,0.048,0.208,0.317,0.423,1.82,0.0,0.0,0.0,0.022,0.03,0.128,0.022,0.03,0.128,0.023,0.031,0.134,0.025,0.033,0.141,0.048,0.064,0.275,0.048,0.064,0.275,1.301,1.74,7.481,0.269,0.359,1.544,0.023,0.031,0.134,0.023,0.031,0.134,0.054,0.072,0.309,0.074,0.098,0.423,0.292,0.39,1.679,0.292,0.39,1.679
AL- MONTGOMERY,1677.0,151.0,2092.0,55,0,15,15,15,15,21,21,180,0,15,16,16,16,28,28,901,336,16,16,42,65,253,253,0.56,0.63,459291.45842276886,342900.87454180623,73128.6696579926,3.651,4.891,22.932,0.329,0.44,2.065,4.555,6.101,28.607,0.12,0.16,0.752,0.0,0.0,0.0,0.033,0.044,0.205,0.033,0.044,0.205,0.033,0.044,0.205,0.033,0.044,0.205,0.046,0.061,0.287,0.046,0.061,0.287,0.392,0.525,2.461,0.0,0.0,0.0,0.033,0.044,0.205,0.035,0.047,0.219,0.035,0.047,0.219,0.035,0.047,0.219,0.061,0.082,0.383,0.061,0.082,0.383,1.962,2.628,12.321,0.732,0.98,4.595,0.035,0.047,0.219,0.035,0.047,0.219,0.091,0.122,0.574,0.142,0.19,0.889,0.551,0.738,3.46,0.551,0.738,3.46
AL- TUSCALOOSA,895.0,92.0,1188.0,28,0,9,9,9,9,13,13,89,0,9,9,9,10,17,17,316,143,9,9,13,20,75,75,0.7,0.7,276951.94739951607,207334.5410895497,41707.63356186436,3.232,4.317,21.459,0.332,0.444,2.206,4.29,5.73,28.484,0.101,0.135,0.671,0.0,0.0,0.0,0.032,0.043,0.216,0.032,0.043,0.216,0.032,0.043,0.216,0.032,0.043,0.216,0.047,0.063,0.312,0.047,0.063,0.312,0.321,0.429,2.134,0.0,0.0,0.0,0.032,0.043,0.216,0.032,0.043,0.216,0.032,0.043,0.216,0.036,0.048,0.24,0.061,0.082,0.408,0.061,0.082,0.408,1.141,1.524,7.577,0.516,0.69,3.429,0.032,0.043,0.216,0.032,0.043,0.216,0.047,0.063,0.312,0.072,0.096,0.48,0.271,0.362,1.798,0.271,0.362,1.798
AR- FORT SMITH,1311.0,117.0,1720.0,55,0,15,15,15,15,24,24,176,0,15,15,16,17,33,33,780,220,16,16,34,51,206,206,0.55,0.53,379227.4053443848,280699.24024533696,67711.00915383887,3.457,4.67,19.362,0.309,0.417,1.728,4.536,6.128,25.402,0.145,0.196,0.812,0.0,0.0,0.0,0.04,0.053,0.222,0.04,0.053,0.222,0.04,0.053,0.222,0.04,0.053,0.222,0.063,0.086,0.354,0.063,0.086,0.354,0.464,0.627,2.599,0.0,0.0,0.0,0.04,0.053,0.222,0.04,0.053,0.222,0.042,0.057,0.236,0.045,0.061,0.251,0.087,0.118,0.487,0.087,0.118,0.487,2.057,2.779,11.52,0.58,0.784,3.249,0.042,0.057,0.236,0.042,0.057,0.236,0.09,0.121,0.502,0.134,0.182,0.753,0.543,0.734,3.042,0.543,0.734,3.042
AR- JONESBORO,829.0,76.0,1019.0,23,0,8,8,8,8,10,10,74,0,8,8,8,8,11,11,419,90,8,8,19,27,105,105,0.58,0.7,255909.25322427173,186444.14827301694,41572.18274853913,3.239,4.446,19.941,0.297,0.408,1.828,3.982,5.465,24.512,0.09,0.123,0.553,0.0,0.0,0.0,0.031,0.043,0.192,0.031,0.043,0.192,0.031,0.043,0.192,0.031,0.043,0.192,0.039,0.054,0.241,0.039,0.054,0.241,0.289,0.397,1.78,0.0,0.0,0.0,0.031,0.043,0.192,0.031,0.043,0.192,0.031,0.043,0.192,0.031,0.043,0.192,0.043,0.059,0.265,0.043,0.059,0.265,1.637,2.247,10.079,0.352,0.483,2.165,0.031,0.043,0.192,0.031,0.043,0.192,0.074,0.102,0.457,0.106,0.145,0.649,0.41,0.563,2.526,0.41,0.563,2.526
AR- LITTLE ROCK,6323.0,488.0,8003.0,155,0,58,58,58,59,73,73,503,0,58,59,59,61,93,93,3705,1506,70,70,182,263,1031,1031,0.52,0.68,1576377.2100745752,1180602.5565281506,278522.86100134405,4.011,5.356,22.702,0.31,0.413,1.752,5.077,6.779,28.734,0.098,0.131,0.557,0.0,0.0,0.0,0.037,0.049,0.208,0.037,0.049,0.208,0.037,0.049,0.208,0.037,0.05,0.212,0.046,0.062,0.262,0.046,0.062,0.262,0.319,0.426,1.806,0.0,0.0,0.0,0.037,0.049,0.208,0.037,0.05,0.212,0.037,0.05,0.212,0.039,0.052,0.219,0.059,0.079,0.334,0.059,0.079,0.334,2.35,3.138,13.302,0.955,1.276,5.407,0.044,0.059,0.251,0.044,0.059,0.251,0.115,0.154,0.653,0.167,0.223,0.944,0.654,0.873,3.702,0.654,0.873,3.702
AR- SPRINGDALE,1423.0,115.0,1747.0,57,0,15,15,15,16,26,26,184,0,16,16,17,18,36,36,827,243,16,16,42,56,226,226,0.51,0.5,621408.9325211396,448833.1342865667,88718.07367275964,2.29,3.17,16.04,0.185,0.256,1.296,2.811,3.892,19.692,0.092,0.127,0.642,0.0,0.0,0.0,0.024,0.033,0.169,0.024,0.033,0.169,0.024,0.033,0.169,0.026,0.036,0.18,0.042,0.058,0.293,0.042,0.058,0.293,0.296,0.41,2.074,0.0,0.0,0.0,0.026,0.036,0.18,0.026,0.036,0.18,0.027,0.038,0.192,0.029,0.04,0.203,0.058,0.08,0.406,0.058,0.08,0.406,1.331,1.843,9.322,0.391,0.541,2.739,0.026,0.036,0.18,0.026,0.036,0.18,0.068,0.094,0.473,0.09,0.125,0.631,0.364,0.504,2.547,0.364,0.504,2.547
