OBJECTID,Provider Number,dist_apart,match source,matching_uuid
4464,014014,124,normalized average,4464-014014
4689,012012,0,top dist and str match,4689-012012
4720,013300,0,top dist and str match,4720-013300
4760,012011,0,top dist and str match,4760-012011
4799,013029,0,top dist and str match,4799-013029
18,010108,5,dist threshhold,18-010108
19,010100,0,dist threshhold,19-010100
20,010129,0,dist threshhold,20-010129
21,010069,0,dist threshhold,21-010069
22,010058,0,dist threshhold,22-010058
23,010050,0,top dist and str match,23-010050
24,010110,0,dist threshhold,24-010110
25,010150,0,dist threshhold,25-010150
26,010038,0,dist threshhold,26-010038
28,010025,0,dist threshhold,28-010025
29,010022,0,dist threshhold,29-010022
30,010091,0,dist threshhold,30-010091
31,010128,0,dist threshhold,31-010128
32,010073,0,dist threshhold,32-010073
33,010049,0,dist threshhold,33-010049
34,010157,0,dist threshhold,34-010157
35,010148,0,dist threshhold,35-010148
36,010036,0,dist threshhold,36-010036
37,010007,0,dist threshhold,37-010007
38,010008,0,top dist and str match,38-010008
39,010035,0,dist threshhold,39-010035
40,010021,0,dist threshhold,40-010021
41,010118,0,dist threshhold,41-010118
42,010012,0,dist threshhold,42-010012
43,010034,0,dist threshhold,43-010034
44,010097,5,dist threshhold,44-010097
45,010099,0,dist threshhold,45-010099
46,010169,0,dist threshhold,46-010169
47,010040,0,top dist and str match,47-010040
48,010046,20,dist threshhold,48-010046
49,010045,0,dist threshhold,49-010045
50,010158,0,dist threshhold,50-010158
51,011302,0,dist threshhold,51-011302
52,010062,0,dist threshhold,52-010062
53,010051,0,dist threshhold,53-010051
54,010095,0,dist threshhold,54-010095
55,010055,0,dist threshhold,55-010055
56,010001,0,top dist and str match,56-010001
57,010061,0,dist threshhold,57-010061
58,010056,0,dist threshhold,58-010056
59,010103,0,dist threshhold,59-010103
60,010104,0,dist threshhold,60-010104
61,010011,0,top dist and str match,61-010011
62,010018,0,top dist and str match,62-010018
63,010019,0,dist threshhold,63-010019
64,010033,0,normalized average,64-010033
65,010114,0,dist threshhold,65-010114
67,010139,0,top dist and str match,67-010139
68,010006,0,dist threshhold,68-010006
69,010059,0,dist threshhold,69-010059
70,010029,0,dist threshhold,70-010029
71,010079,0,top dist and str match,71-010079
72,010039,0,top dist and str match,72-010039
73,010131,6,dist threshhold,73-010131
74,010112,0,dist threshhold,74-010112
75,010086,0,dist threshhold,75-010086
76,010044,9,dist threshhold,76-010044
77,010005,0,dist threshhold,77-010005
78,010087,0,dist threshhold,78-010087
79,010090,0,dist threshhold,79-010090
80,010113,0,top dist and str match,80-010113
81,010144,0,dist threshhold,81-010144
82,013301,0,top dist and str match,82-013301
83,010120,0,dist threshhold,83-010120
84,010149,0,dist threshhold,84-010149
86,010023,25,dist threshhold,86-010023
87,010024,0,top dist and str match,87-010024
88,010085,0,dist threshhold,88-010085
89,010126,0,dist threshhold,89-010126
91,010130,0,dist threshhold,91-010130
92,010016,0,top dist and str match,92-010016
93,010138,0,dist threshhold,93-010138
94,010164,0,dist threshhold,94-010164
95,010101,0,dist threshhold,95-010101
96,010052,0,dist threshhold,96-010052
97,010065,0,dist threshhold,97-010065
98,010092,0,top dist and str match,98-010092
100,010089,0,dist threshhold,100-010089
101,011300,0,dist threshhold,101-011300
102,010102,0,dist threshhold,102-010102
103,010125,0,dist threshhold,103-010125
6006,014017,0,dist threshhold,6006-014017
6288,010172,0,top dist and str match,6288-010172
6317,010032,0,top dist and str match,6317-010032
6332,010173,0,dist threshhold,6332-010173
6378,013031,0,dist threshhold,6378-013031
5054,012008,0,top dist and str match,5054-012008
5160,014007,0,dist threshhold,5160-014007
5171,013025,0,dist threshhold,5171-013025
5236,014012,1273,top dist and str match,5236-014012
5264,013028,0,dist threshhold,5264-013028
5324,014011,0,dist threshhold,5324-014011
5341,012010,0,top dist and str match,5341-012010
5494,013030,0,top dist and str match,5494-013030
5517,014006,0,dist threshhold,5517-014006
5530,012006,0,top dist and str match,5530-012006
5531,013032,0,top dist and str match,5531-013032
5566,014000,0,dist threshhold,5566-014000
5750,010083,0,dist threshhold,5750-010083
5752,010171,0,top dist and str match,5752-010171
5823,014015,0,top dist and str match,5823-014015
5855,014016,0,dist threshhold,5855-014016
5891,014018,0,dist threshhold,5891-014018
5932,014013,0,dist threshhold,5932-014013
4703,022001,0,dist threshhold,4703-022001
4922,021301,0,dist threshhold,4922-021301
104,020001,0,dist threshhold,104-020001
105,020017,0,top dist and str match,105-020017
106,020026,0,dist threshhold,106-020026
107,020018,0,dist threshhold,107-020018
109,020012,0,dist threshhold,109-020012
110,020008,0,dist threshhold,110-020008
111,020024,0,dist threshhold,111-020024
112,021302,0,dist threshhold,112-021302
113,021313,0,dist threshhold,113-021313
114,021311,0,dist threshhold,114-021311
116,021306,0,dist threshhold,116-021306
117,020006,0,dist threshhold,117-020006
118,021308,0,dist threshhold,118-021308
119,020027,0,top dist and str match,119-020027
120,021305,0,dist threshhold,120-021305
5015,021307,0,dist threshhold,5015-021307
5075,024002,0,dist threshhold,5075-024002
5391,021304,0,dist threshhold,5391-021304
5491,024001,0,normalized average,5491-024001
5923,021310,0,dist threshhold,5923-021310
5925,021309,0,dist threshhold,5925-021309
4354,033025,0,dist threshhold,4354-033025
4358,033036,0,dist threshhold,4358-033036
4475,030037,0,normalized average,4475-030037
4484,032006,0,top dist and str match,4484-032006
4487,034021,0,dist threshhold,4487-034021
4707,033034,0,dist threshhold,4707-033034
123,030071,0,dist threshhold,123-030071
124,030084,0,dist threshhold,124-030084
125,031309,0,dist threshhold,125-031309
126,031315,0,dist threshhold,126-031315
127,031312,0,dist threshhold,127-031312
128,031301,0,dist threshhold,128-031301
129,031302,0,dist threshhold,129-031302
130,030043,0,dist threshhold,130-030043
131,030023,116,top dist and str match,131-030023
132,031304,0,dist threshhold,132-031304
133,030073,0,dist threshhold,133-030073
134,030077,126,top dist and str match,134-030077
135,031314,0,dist threshhold,135-031314
136,030033,173,top dist and str match,136-030033
137,030068,0,dist threshhold,137-030068
138,030067,0,top dist and str match,138-030067
139,030065,0,dist threshhold,139-030065
140,030061,0,dist threshhold,140-030061
141,030024,101,top dist and str match,141-030024
142,030030,0,dist threshhold,142-030030
143,030036,0,dist threshhold,143-030036
144,030038,0,dist threshhold,144-030038
145,030022,7,dist threshhold,145-030022
146,030014,114,top dist and str match,146-030014
147,030001,65,dist threshhold,147-030001
148,030002,0,top dist and str match,148-030002
149,030078,0,dist threshhold,149-030078
150,030083,0,dist threshhold,150-030083
151,030087,0,dist threshhold,151-030087
152,030088,0,top dist and str match,152-030088
153,030089,0,dist threshhold,153-030089
154,030092,29,dist threshhold,154-030092
155,030093,0,dist threshhold,155-030093
156,030094,0,dist threshhold,156-030094
157,030103,0,dist threshhold,157-030103
158,030105,0,top dist and str match,158-030105
160,030108,0,dist threshhold,160-030108
161,030110,0,dist threshhold,161-030110
162,031300,0,dist threshhold,162-031300
163,030112,0,dist threshhold,163-030112
164,030115,0,dist threshhold,164-030115
165,030119,6,dist threshhold,165-030119
166,030121,0,dist threshhold,166-030121
167,030122,7,dist threshhold,167-030122
168,030123,0,dist threshhold,168-030123
169,033302,0,dist threshhold,169-033302
170,030117,0,dist threshhold,170-030117
171,030101,0,dist threshhold,171-030101
172,030069,0,dist threshhold,172-030069
173,030055,0,dist threshhold,173-030055
174,030062,93,dist threshhold,174-030062
175,031305,0,dist threshhold,175-031305
176,030113,0,dist threshhold,176-030113
177,031311,0,dist threshhold,177-031311
178,030114,0,dist threshhold,178-030114
180,030085,33,top dist and str match,180-030085
181,030111,0,dist threshhold,181-030111
182,030064,0,dist threshhold,182-030064
183,030006,120,top dist and str match,183-030006
184,030010,0,top dist and str match,184-030010
185,030011,29,top dist and str match,185-030011
186,030016,0,dist threshhold,186-030016
187,031313,0,dist threshhold,187-031313
189,030012,0,dist threshhold,189-030012
190,030007,0,dist threshhold,190-030007
191,030013,0,dist threshhold,191-030013
6022,034027,0,dist threshhold,6022-034027
6063,030137,0,dist threshhold,6063-030137
6067,033038,21,dist threshhold,6067-033038
6123,030136,0,dist threshhold,6123-030136
6159,034030,0,dist threshhold,6159-034030
6160,034031,0,dist threshhold,6160-034031
6186,034029,0,dist threshhold,6186-034029
6248,034032,0,dist threshhold,6248-034032
6264,033039,0,dist threshhold,6264-033039
6333,033041,0,dist threshhold,6333-033041
6348,033040,0,dist threshhold,6348-033040
6397,034033,61,dist threshhold,6397-034033
5057,032001,0,top dist and str match,5057-032001
5081,033028,0,top dist and str match,5081-033028
5133,033029,0,top dist and str match,5133-033029
5204,034022,0,top dist and str match,5204-034022
5258,032002,0,normalized average,5258-032002
5270,034004,0,dist threshhold,5270-034004
5297,034023,0,dist threshhold,5297-034023
5352,034020,53,dist threshhold,5352-034020
5547,032004,0,dist threshhold,5547-032004
5563,033032,0,dist threshhold,5563-033032
5580,030131,0,dist threshhold,5580-030131
5623,034026,0,dist threshhold,5623-034026
5651,033037,0,dist threshhold,5651-033037
5700,034028,0,dist threshhold,5700-034028
5712,031307,0,dist threshhold,5712-031307
5713,031308,0,dist threshhold,5713-031308
5728,030130,0,dist threshhold,5728-030130
5818,030132,0,dist threshhold,5818-030132
5824,034025,0,top dist and str match,5824-034025
5921,030134,0,dist threshhold,5921-030134
4353,044004,0,dist threshhold,4353-044004
4501,044011,0,top dist and str match,4501-044011
4513,042011,0,dist threshhold,4513-042011
4611,043033,0,top dist and str match,4611-043033
4628,042012,0,top dist and str match,4628-042012
4658,044007,0,dist threshhold,4658-044007
4768,042008,34,top dist and str match,4768-042008
4991,042010,0,top dist and str match,4991-042010
192,040072,0,dist threshhold,192-040072
193,041314,0,dist threshhold,193-041314
194,041323,0,dist threshhold,194-041323
195,040027,0,dist threshhold,195-040027
197,040010,0,dist threshhold,197-040010
198,041331,0,dist threshhold,198-041331
199,040017,0,dist threshhold,199-040017
200,041327,0,dist threshhold,200-041327
201,041329,0,dist threshhold,201-041329
202,041328,0,dist threshhold,202-041328
203,041321,13,dist threshhold,203-041321
204,041330,0,dist threshhold,204-041330
205,041312,0,dist threshhold,205-041312
206,040067,0,dist threshhold,206-040067
208,041324,0,dist threshhold,208-041324
209,040118,0,dist threshhold,209-040118
210,040020,0,dist threshhold,210-040020
211,040018,8,dist threshhold,211-040018
212,041307,0,dist threshhold,212-041307
213,041317,0,dist threshhold,213-041317
214,041308,0,dist threshhold,214-041308
215,041326,0,dist threshhold,215-041326
216,040051,66,dist threshhold,216-040051
217,040029,0,top dist and str match,217-040029
218,041303,0,dist threshhold,218-041303
219,040132,0,top dist and str match,219-040132
220,040078,0,dist threshhold,220-040078
221,040026,0,normalized average,221-040026
222,040039,0,dist threshhold,222-040039
223,040153,0,top dist and str match,223-040153
