,County,FileNumber,ProviderName,Bed Census,Available,Available Capacity,Total Staffed Bed Capacity,Matched Name,Matched Score,CCM_ID,CCM County
1,ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,859,187,17.88%,1046,"SHANDS HOSPITAL, UF Health Shands Hospital (FKA Shands at the University of Florida), UF HEALTH SHANDS",90.00000762939453,35032610.0,ALACHUA
2,ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,366,58,13.68%,424,"NORTH FLORIDA REGIONAL MEDICAL CENTER, North Florida Regional Medical Center, NORTH FLORIDA REGIONAL MED CTR",90.00000762939453,27832605.0,ALACHUA
3,ALACHUA,110025,UF HEALTH REHAB HOSPITAL,40,10,20.00%,50,"SELECT SPECIALTY HOSPITAL GAINESVILLE, UF Health Rehab Hospital, ",90.00000762939453,34132608.0,ALACHUA
4,ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,55,26,32.10%,81,"MALCOM RANDALL VA MEDICAL CENTER, North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center, ",85.50000762939453,23132608.0,ALACHUA
5,ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,42,6,12.50%,48,"SELECT SPECIALTY HOSPITAL GAINESVILLE, UF Health Rehab Hospital, ",90.00000762939453,34132608.0,ALACHUA
6,BAKER,100134,ED FRASER MEMORIAL HOSPITAL,2,10,83.33%,12,"ED FRASER MEMORIAL HOSPITAL, Baker County Medical Services (FKA Ed Fraser Memorial Hospital), ED FRASER MEMORIAL HOSPITAL",90.00000762939453,8832063.0,BAKER
7,BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,508,105,17.13%,613,"NORTHEAST FLORIDA STATE HOSPITAL, Northeast Florida State Hospital, NORTHEAST FLORIDA STATE HOSPITAL",90.00000762939453,28432063.0,BAKER
8,BAY,100026,ASCENSION SACRED HEART BAY,128,40,23.81%,168,"BAY MEDICAL CENTER SACRED HEART, Ascension Sacred Heart Hospital Bay (AKA Bay Medical Sacred Heart), BAY COUNTY HEALTH SYSTEM LLC",85.50000762939453,2632401.0,BAY
9,BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,205,34,14.23%,239,"GULF COAST MEDICAL CENTER, Gulf Coast Regional Medical Center, GULF COAST REGIONAL MED CTR",90.00000762939453,14632405.0,BAY
10,BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,56,30,34.88%,86,"EMERALD COAST BEHAVIORAL HOSPITAL, Emerald Coast Behavioral Hospital, EMERALD COAST BEHAVIORAL HOSPITAL",90.00000762939453,9132405.0,BAY
11,BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,41,15,26.79%,56,"HEALTHSOUTH EMERALD COAST REHABILITATION, Encompass Health Rehabilitation Hospital of Panama City (FKA Healthsouth Emerald Coast Rehabilitation Hospital), ENCOMPASS HEALTH REHABILITATION HOSP",90.00000762939453,15932405.0,BAY
12,BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,2,28,93.33%,30,"SELECT SPECIALTY HOSPITAL - PANAMA CITY, , SSH - PANAMA CITY  INC",90.00000762939453,34532401.0,BAY
13,BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,5,50.00%,10,"SHANDS STARKE REGIONAL MEDICAL CENTER, Shands Starke Regional Medical Center, SHANDS STARKE",85.50000762939453,35932091.0,BRADFORD
14,BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,405,101,19.96%,506,"HOLMES REGIONAL MEDICAL CENTER, Holmes Regional Medical Center, HOLMES REGL MEDICAL CENTER",90.00000762939453,17432901.0,BREVARD
15,BREVARD,100028,PARRISH MEDICAL CENTER,99,54,35.29%,153,"PARRISH MEDICAL CENTER, Parrish Medical Center (AKA Parrish Healthcare), PARRISH MEDICAL CENTER",90.00000762939453,30932796.0,BREVARD
16,BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,130,90,40.91%,220,"WUESTHOFF MEDICAL CENTER-ROCKLEDGE, Rockledge Regional Medical Center (FKA Wuesthoff Medical Center - Rockledge), WUESTOFF MEDICAL CENTER - ROCKLEDGE",90.00000762939453,44032955.0,BREVARD
17,BREVARD,100177,CAPE CANAVERAL HOSPITAL,79,61,43.57%,140,"CAPE CANAVERAL HOSPITAL, Cape Canaveral Hospital, CAPE CANAVERAL HOSPITAL INC",90.00000762939453,5432931.0,BREVARD
18,BREVARD,104024,"CIRCLES OF CARE, INC",32,20,38.46%,52,"VIERA HOSPITAL, Viera Hospital, VIERA HOSPITAL INC",85.50000762939453,41532940.0,BREVARD
19,BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,59,1,1.67%,60,"HEALTHSOUTH SEA PINES REHABILITATION HOSPITAL, Sea Pines Rehabilitation Hospital (FKA Healthsouth Sea Pines Rehab Hospital), SEA PINES REHABILITATION HOSPITAL  A",85.50000762939453,16532901.0,BREVARD
20,BREVARD,110036,DEVEREUX FLORIDA,100,0,0.00%,100,"DEVEREUX HOSPITAL AND CHILDREN'S CENTER OF FLORIDA, , ",85.50000762939453,7532940.0,BREVARD
21,BREVARD,120007,PALM BAY HOSPITAL,92,23,20.00%,115,"PALM BAY HOSPITAL, Palm Bay Hospital, PALM BAY HOSPITAL",90.00000762939453,29932907.0,BREVARD
22,BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,35,70,66.67%,105,"WUESTHOFF MEDICAL CENTER-MELBOURNE, Melbourne Regional Medical Center (FKA Wuesthoff Medical Center - Melbourne), WUESTHOFF MEDICAL CENTER - MELBOURNE",90.00000762939453,43932935.0,BREVARD
23,BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,38,22,36.67%,60,"KINDRED HOSPITAL MELBOURNE, Kindred Hospital Melbourne, ",90.00000762939453,19732901.0,BREVARD
