County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"14,467",0.235212825,"47,039","61,506"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,108,0.106299213,908,"1,016"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,44,0.091097308,439,483
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,8,0.133333333,52,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,31,0.382716049,50,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,1,0.020833333,47,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,10,0.833333333,2,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,148,0.241435563,465,613
BAY,100026,ASCENSION SACRED HEART BAY,31,0.206666667,119,150
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,39,0.165254237,197,236
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,23,0.267441860,63,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0,0,48,48
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,6,0.2,24,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,76,0.149901381,431,507
BREVARD,100028,PARRISH MEDICAL CENTER,63,0.362068966,111,174
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,64,0.345945946,121,185
BREVARD,100177,CAPE CANAVERAL HOSPITAL,59,0.421428571,81,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,7,0.127272727,48,55
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,23,0.2,92,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,54,0.514285714,51,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,21,0.35,39,60
BREVARD,23960092,VIERA HOSPITAL,6,0.073170732,76,82
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,17,0.386363636,27,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,137,0.160798122,715,852
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,13,0.032911392,382,395
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,46,0.386554622,73,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,9,0.036437247,238,247
BROWARD,100073,HOLY CROSS HOSPITAL,142,0.408045977,206,348
BROWARD,100086,BROWARD HEALTH NORTH,8,0.037383178,206,214
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,27,0.421875,37,64
BROWARD,100167,PLANTATION GENERAL HOSPITAL,142,0.537878788,122,264
BROWARD,100189,NORTHWEST MEDICAL CENTER,92,0.317241379,198,290
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,0,0,129,129
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,41,0.213541667,151,192
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,167,0.526813880,150,317
