County,FileNumber,ProviderName,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Available Pediatric ICU,Available Pediatric ICU%,Pediatric ICU Census,Total AdultICU Capacity,Total PediatricICU Capacity
All,All,All,"4,930","1,224",0.198895028,253,0.372058824,427,"6,154",680
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,236,24,0.092307692,12,0.255319149,35,260,47
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,40,8,0.166666667,0,0,0,48,0
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,0,0,0,0,0,0,0,0
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0,0,0,0,0,0,0,0
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,0,0,0,0,0,0,0,0
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,0,0,0,0,0,0,0,0
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
BAY,100026,ASCENSION SACRED HEART BAY,34,10,0.227272727,0,0,0,44,0
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,20,0,0,4,1,0,20,4
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,0,0,0,0,0,0,0,0
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0,0,0,0,0,0,0,0
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0,0,0,0,0,0,0,0
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0,0,0,0,0,0,0,0
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,50,18,0.264705882,0,0,0,68,0
BREVARD,100028,PARRISH MEDICAL CENTER,12,0,0,0,0,0,12,0
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,28,11,0.282051282,0,0,0,39,0
BREVARD,100177,CAPE CANAVERAL HOSPITAL,10,2,0.166666667,0,0,0,12,0
BREVARD,104024,"CIRCLES OF CARE, INC",0,0,0,0,0,0,0,0
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0,0,0,0,0,0,0,0
BREVARD,110036,DEVEREUX FLORIDA,0,0,0,0,0,0,0,0
BREVARD,120007,PALM BAY HOSPITAL,12,4,0.25,0,0,0,16,0
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,4,8,0.666666667,0,0,0,12,0
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,6,2,0.25,0,0,0,8,0
BREVARD,23960092,VIERA HOSPITAL,18,2,0.1,0,0,0,20,0
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,0,0,0,0,0,0,0,0
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,64,9,0.123287671,21,0.388888889,33,73,54
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,56,0,0,2,0.222222222,7,56,9
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,6,3,0.333333333,0,0,0,9,0
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,44,4,0.083333333,0,0,0,48,0
BROWARD,100073,HOLY CROSS HOSPITAL,31,11,0.261904762,9,0.75,3,42,12
BROWARD,100086,BROWARD HEALTH NORTH,30,3,0.090909091,0,0,0,33,0
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,8,0,0,0,0,0,8,0
BROWARD,100167,PLANTATION GENERAL HOSPITAL,14,6,0.3,5,0.625,3,20,8
BROWARD,100189,NORTHWEST MEDICAL CENTER,17,13,0.433333333,0,0,0,30,0
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,9,1,0.1,0,0,0,10,0
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,27,9,0.25,0,0,0,36,0
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,11,4,0.266666667,0,0,0,15,0
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,0,0,0,0,0,0,0,0
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,24,8,0.25,0,0,0,32,0
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,14,0,0,0,0,0,14,0
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,0,0,0,0,0,0,0,0
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0,0,0,0,0,0,0,0
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,0,0,0,0,0,0
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0,0,0,0,0,0,0,0
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0,0,0,0,0,0,0,0
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,13,1,0.071428571,0,0,3,14,3
BROWARD,111527,MEMORIAL HOSPITAL WEST,27,0,0,0,0,0,27,0
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,17,1,0.055555556,0,0,0,18,0
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,0,0,0,0,0,0,0,0
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,8,4,0.333333333,0,0,0,12,0
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,18,3,0.142857143,0,0,0,21,0
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,13,6,0.315789474,0,0,0,19,0
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,22,2,0.083333333,0,0,0,24,0
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,15,1,0.0625,0,0,0,16,0
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,6,0,0,0,0,0,6,0
CLAY,100226,ORANGE PARK MEDICAL CENTER,27,1,0.035714286,1,0.25,3,28,4
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,10,5,0.333333333,0,0,0,15,0
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,23,8,0.258064516,0,0,0,31,0
COLLIER,110043,"WILLOUGH AT NAPLES, THE",0,0,0,0,0,0,0,0
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,12,4,0.25,0,0,0,16,0
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,16,0,0,0,0,0,16,0
