County,COVID Hospitalizations
ALACHUA,125
BAKER,5
BAY,64
BRADFORD,0
BREVARD,108
BROWARD,769
CALHOUN,0
CHARLOTTE,42
CITRUS,26
CLAY,61
COLLIER,108
COLUMBIA,29
DESOTO,4
DUVAL,321
ESCAMBIA,157
FLAGLER,14
FRANKLIN,0
GADSDEN,126
GULF,4
HARDEE,0
HENDRY,5
HERNANDO,49
HIGHLANDS,51
HILLSBOROUGH,322
HOLMES,2
INDIAN RIVER,21
JACKSON,15
LAKE,50
LEE,175
LEON,77
MADISON,0
MANATEE,67
MARION,105
MARTIN,18
MIAMI-DADE,"1,206"
MONROE,8
NASSAU,5
OKALOOSA,47
OKEECHOBEE,11
ORANGE,263
OSCEOLA,106
PALM BEACH,363
PASCO,77
PINELLAS,257
POLK,180
PUTNAM,10
SANTA ROSA,20
SARASOTA,81
SEMINOLE,84
ST. JOHNS,27
ST. LUCIE,112
SUMTER,19
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,91
WALTON,9
WASHINGTON,6
All,"5,902"
