County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Adult ICU Census,UF HEALTH SHANDS HOSPITAL,220
ALACHUA,100113,Available Adult ICU,UF HEALTH SHANDS HOSPITAL,40
ALACHUA,100113,Available Adult ICU%,UF HEALTH SHANDS HOSPITAL,0.153846154
ALACHUA,100113,Total AdultICU Capacity,UF HEALTH SHANDS HOSPITAL,260
ALACHUA,100113,Pediatric ICU Census,UF HEALTH SHANDS HOSPITAL,38
ALACHUA,100113,Available Pediatric ICU,UF HEALTH SHANDS HOSPITAL,9
ALACHUA,100113,Available Pediatric ICU%,UF HEALTH SHANDS HOSPITAL,0.191489362
ALACHUA,100113,Total PediatricICU Capacity,UF HEALTH SHANDS HOSPITAL,47
ALACHUA,100204,Adult ICU Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,40
ALACHUA,100204,Available Adult ICU,NORTH FLORIDA REGIONAL MEDICAL CENTER,8
ALACHUA,100204,Available Adult ICU%,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.166666667
ALACHUA,100204,Total AdultICU Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,48
ALACHUA,100204,Pediatric ICU Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,0
ALACHUA,100204,Available Pediatric ICU,NORTH FLORIDA REGIONAL MEDICAL CENTER,0
ALACHUA,100204,Available Pediatric ICU%,NORTH FLORIDA REGIONAL MEDICAL CENTER,
ALACHUA,100204,Total PediatricICU Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0
ALACHUA,110025,Adult ICU Census,UF HEALTH REHAB HOSPITAL,0
ALACHUA,110025,Available Adult ICU,UF HEALTH REHAB HOSPITAL,0
ALACHUA,110025,Available Adult ICU%,UF HEALTH REHAB HOSPITAL,
ALACHUA,110025,Total AdultICU Capacity,UF HEALTH REHAB HOSPITAL,0
ALACHUA,110025,Pediatric ICU Census,UF HEALTH REHAB HOSPITAL,0
ALACHUA,110025,Available Pediatric ICU,UF HEALTH REHAB HOSPITAL,0
ALACHUA,110025,Available Pediatric ICU%,UF HEALTH REHAB HOSPITAL,
ALACHUA,110025,Total PediatricICU Capacity,UF HEALTH REHAB HOSPITAL,0
ALACHUA,120011,Adult ICU Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0
ALACHUA,120011,Available Adult ICU,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0
ALACHUA,120011,Available Adult ICU%,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,
ALACHUA,120011,Total AdultICU Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0
ALACHUA,120011,Pediatric ICU Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0
