,Provider Number,FYB,FYE,STATUS,CTRL_TYPE,HOSP10_Name,Street_Addr,PO_Box,City,State,Zip_Code,County,Hospital Adult and Peds Staffed Beds,Hospital Adult and Peds Bed Days Available,Hospital Adult and Peds Inpatient Days,Intensive Care Unit Staffed Beds,Intensive Care Unit Bed Days Available,Intensive Care Unit Inpatient Days,Coronary Care Unit Staffed Beds,Coronary Care Unit Bed Days Available,Coronary Care Unit Inpatient Days,Burn ICU Staffed Beds,Burn ICU Bed Days Available,Burn ICU Inpatient Days,Surgical ICU Staffed Beds,Surgical ICU Bed Days Available,Surgical ICU Inpatient Days,Total Staffed Beds,Total Bed Days Available,Total Inpatient Days,ICU Total Staffed Beds,ICU Total Bed Days Available,ICU Total Inpatient Days,ICU Occupancy Rate,Total Bed Occupancy Rate,geometry
23,010035,01-JUL-18,30-JUN-19,As Submitted,9,CULLMAN REGIONAL,1912 ALABAMA HIGHWAY 157,NaN,CULLMAN,AL,35056,CULLMAN,133.0,48545.0,23865.0,12.0,4380.0,3030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,52925.0,26895.0,12.0,4380.0,3030.0,0.6917808219178082,0.508171941426547,POINT (-86.80549739999999 34.2010179)
32,010047,01-JAN-18,31-DEC-18,As Submitted,4,GEORGIANA HOSPITAL,515 MIRANDA STREET,NaN,GEORGIANA,AL,36033,BUTLER,22.0,8030.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8030.0,1391.0,0.0,0.0,0.0,0.0,0.17322540473225403,POINT (-86.74305179999999 31.6363022)
49,010079,01-JUL-18,30-JUN-19,As Submitted,13,ATHENS LIMESTONE,ATHENS LIMESTONE HOSPITAL,999,ATHENS,AL,35611-,LIMESTONE,56.0,20440.0,11630.0,10.0,3650.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,24090.0,13306.0,10.0,3650.0,859.0,0.23534246575342466,0.5523453715234538,POINT (-86.9784952 34.8041941)
54,010089,01-JAN-18,31-DEC-18,As Submitted,1,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,3547,JASPER,AL,35502,WALKER,195.0,71175.0,18758.0,12.0,4380.0,2963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,75555.0,23886.0,12.0,4380.0,2963.0,0.6764840182648402,0.31614055985705775,POINT (-87.2360037 33.8422088)
67,010109,01-OCT-17,30-SEP-18,As Submitted,9,PICKENS COUNTY MEDICAL CENTER,R.K. WILSON DRIVE,NaN,CARROLLTON,AL,35477,PICKENS,36.0,13140.0,1945.0,4.0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14600.0,2240.0,4.0,1460.0,0.0,0.0,0.15342465753424658,POINT (-88.088256 33.27455)
69,010112,01-OCT-17,30-SEP-18,As Submitted,8,BRYAN W WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,NaN,DEMOPOLIS,AL,36732,MARENGO,32.0,11680.0,3900.0,5.0,1825.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13505.0,6013.0,5.0,1825.0,931.0,0.5101369863013698,0.44524250277674937,POINT (-87.8364156 32.504412)
70,010113,01-APR-18,31-MAR-19,As Submitted,2,MOBILE INFIRMARY MEDICAL CENTER,FIVE MOBILE INFIRMARY CIRCLE,2144,MOBILE,AL,36652-,MOBILE,547.0,199655.0,124755.0,14.0,5110.0,4621.0,14.0,5110.0,3800.0,0.0,0.0,0.0,24.0,8760.0,7994.0,611.0,223015.0,146711.0,52.0,18980.0,16415.0,0.8648577449947313,0.657852610810932,POINT (-88.08057789999999 30.6973217)
85,010146,01-OCT-17,30-JUN-18,As Submitted,13,JACKSONVILLE MEDICAL CENTER,1701 PELHAM ROAD SOUTH,NaN,JACKSONVILLE,AL,36265,CALHOUN,33.0,9009.0,3371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,9009.0,3371.0,0.0,0.0,0.0,0.0,0.3741813741813742,POINT (-85.7637007 33.7849526)
93,010168,01-JAN-18,31-DEC-18,As Submitted,5,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,NaN,PHENIX CITY,AL,36867,RUSSELL,39.0,14235.0,6163.0,8.0,2920.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,17155.0,6679.0,8.0,2920.0,516.0,0.17671232876712328,0.3893325561060915,POINT (-85.03 32.49)
117,013031,25-MAY-18,30-JUN-19,As Submitted,4,ENCOMPASS HEALTH REHABILITATION HOSP,900 OAK MOUNTAIN COMMONS LANE,NaN,PELHAM,AL,35124,SHELBY,34.0,13668.0,8383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,13668.0,8383.0,0.0,0.0,0.0,0.0,0.6133304067895815,POINT (-86.79881 33.2832999)
