,HRRCITY,Licensed All Beds,Staffed All Beds,HGHI - Total Hospital Beds,All Bed Occupancy Rate,HGHI - Available Hospital Beds,Staffed ICU Beds,ICU Bed Occupancy Rate,HGHI - Available ICU Beds,Staffed ICU Beds,HGHI - Total ICU Beds,Population,Population (20+),Population (65+),HGHI - Adult Population,HGHI - Population 65+
0,AL- BIRMINGHAM,10094.0,8152.0,7297.0,0.55,2756.0,864.0,0.7,342.0,864.0,991.0,2315317.0,1739960.0,394851.0,1774690.0,364610.0
1,AL- DOTHAN,1837.0,1528.0,1335.0,0.57,504.0,142.0,0.72,33.0,142.0,108.0,369295.0,280167.0,69067.0,290096.0,65608.0
2,AL- HUNTSVILLE,1848.0,1754.0,1804.0,0.59,569.0,163.0,0.75,59.0,163.0,248.0,664860.0,500270.0,106495.0,506155.0,100153.0
3,AL- MOBILE,3131.0,2490.0,2066.0,0.62,695.0,232.0,0.64,101.0,232.0,282.0,856229.0,640362.0,148917.0,648957.0,135227.0
4,AL- MONTGOMERY,2092.0,1677.0,1225.0,0.56,461.0,151.0,0.63,61.0,151.0,131.0,459289.0,342900.0,73128.0,360863.0,68023.0
5,AL- TUSCALOOSA,1188.0,895.0,1066.0,0.7,297.0,92.0,0.7,37.0,92.0,143.0,276955.0,207337.0,41707.0,215194.0,37920.0
6,AR- FORT SMITH,1720.0,1311.0,931.0,0.55,487.0,117.0,0.53,55.0,117.0,87.0,379228.0,280700.0,67712.0,281971.0,62427.0
7,AR- JONESBORO,1019.0,829.0,975.0,0.58,403.0,76.0,0.7,23.0,76.0,76.0,255910.0,186443.0,41573.0,185969.0,38518.0
8,AR- LITTLE ROCK,8003.0,6323.0,4854.0,0.52,2174.0,488.0,0.68,177.0,488.0,520.0,1576377.0,1180606.0,278522.0,1212482.0,258840.0
9,AR- SPRINGDALE,1747.0,1423.0,1144.0,0.51,616.0,115.0,0.5,73.0,115.0,135.0,621409.0,448833.0,88716.0,437572.0,77638.0
10,AR- TEXARKANA,1120.0,923.0,656.0,0.42,383.0,72.0,0.42,62.0,72.0,90.0,257300.0,189290.0,45553.0,198305.0,43677.0
11,AZ- MESA,2735.0,2641.0,2091.0,0.68,648.0,281.0,0.5,108.0,281.0,291.0,380496.0,282352.0,66086.0,1135619.0,212738.0
12,AZ- PHOENIX,9679.0,8703.0,6977.0,0.59,2567.0,701.0,0.57,416.0,701.0,957.0,2874080.0,2129954.0,509692.0,2761090.0,532669.0
13,AZ- SUN CITY,1021.0,916.0,845.0,0.52,364.0,119.0,0.55,81.0,119.0,119.0,746692.0,552840.0,121497.0,237503.0,104547.0
14,AZ- TUCSON,3653.0,3208.0,2677.0,0.53,1184.0,308.0,0.55,161.0,308.0,335.0,1123893.0,848419.0,223377.0,971119.0,232066.0
15,CA- ALAMEDA CO.,3826.0,3564.0,2695.0,0.47,665.0,323.0,0.54,139.0,323.0,293.0,1753267.0,1350461.0,242861.0,1310189.0,214991.0
16,CA- BAKERSFIELD,2381.0,2300.0,2429.0,0.54,692.0,205.0,0.52,88.0,205.0,191.0,785968.0,532654.0,87259.0,847115.0,123309.0
17,CA- CHICO,586.0,527.0,537.0,0.76,153.0,51.0,0.55,23.0,51.0,51.0,261294.0,197927.0,48142.0,239882.0,53947.0
18,CA- CONTRA COSTA CO.,2331.0,2270.0,1727.0,0.48,675.0,203.0,0.6,81.0,203.0,203.0,1227389.0,923090.0,193541.0,844608.0,159096.0
19,CA- FRESNO,3766.0,3693.0,1935.0,0.45,547.0,228.0,0.66,77.0,228.0,205.0,1083238.0,749539.0,132085.0,918145.0,146620.0
20,CA- LOS ANGELES,25085.0,22918.0,19492.0,0.62,6594.0,2240.0,0.64,942.0,2240.0,2415.0,9969706.0,7539253.0,1352204.0,7874162.0,1268093.0
21,CA- MODESTO,1794.0,1724.0,1478.0,0.56,467.0,118.0,0.65,44.0,118.0,118.0,968553.0,678659.0,129193.0,680976.0,119559.0
22,CA- NAPA,621.0,477.0,456.0,0.56,152.0,70.0,0.41,41.0,70.0,70.0,273552.0,210334.0,55557.0,218503.0,53625.0
23,CA- ORANGE CO.,6463.0,6295.0,5813.0,0.54,2236.0,701.0,0.55,293.0,701.0,690.0,3419618.0,2580385.0,502821.0,2662559.0,456181.0
24,CA- PALM SPR/RANCHO MIR.,944.0,794.0,974.0,0.56,404.0,69.0,0.66,23.0,69.0,69.0,684249.0,488697.0,88485.0,305976.0,94312.0
25,CA- REDDING,922.0,845.0,786.0,0.54,284.0,109.0,0.5,58.0,109.0,109.0,259231.0,199445.0,52250.0,276179.0,64591.0
26,CA- SACRAMENTO,4955.0,4814.0,4381.0,0.65,1315.0,552.0,0.62,224.0,552.0,616.0,2835644.0,2108294.0,438303.0,2076640.0,403030.0
27,CA- SALINAS,747.0,691.0,740.0,0.6,290.0,47.0,0.54,37.0,47.0,70.0,381570.0,270671.0,51836.0,303247.0,51843.0
28,CA- SAN BERNARDINO,8219.0,8094.0,5691.0,0.47,2125.0,650.0,0.66,231.0,650.0,690.0,1776319.0,1267988.0,221597.0,2406889.0,366977.0
29,CA- SAN DIEGO,7962.0,7577.0,6178.0,0.57,1949.0,733.0,0.59,358.0,733.0,802.0,4701305.0,3496113.0,664995.0,3005567.0,497077.0
30,CA- SAN FRANCISCO,4296.0,3888.0,3776.0,0.51,1139.0,461.0,0.58,203.0,461.0,439.0,1112917.0,921477.0,186579.0,1272753.0,236390.0
31,CA- SAN JOSE,2960.0,2837.0,2547.0,0.57,916.0,277.0,0.63,146.0,277.0,341.0,1906062.0,1442171.0,257814.0,1456607.0,234573.0
32,CA- SAN LUIS OBISPO,1701.0,1685.0,390.0,0.12,202.0,54.0,0.33,33.0,54.0,54.0,219320.0,167627.0,41161.0,213703.0,46965.0
33,CA- SAN MATEO CO.,4126.0,3384.0,1555.0,0.31,452.0,190.0,0.65,88.0,190.0,198.0,767906.0,594677.0,122924.0,666874.0,128195.0
34,CA- SANTA BARBARA,831.0,713.0,858.0,0.63,246.0,82.0,0.63,35.0,82.0,82.0,164962.0,121263.0,25734.0,359828.0,67153.0
35,CA- SANTA CRUZ,374.0,354.0,359.0,0.56,169.0,22.0,0.71,6.0,22.0,22.0,251934.0,190854.0,41107.0,229413.0,39590.0
36,CA- SANTA ROSA,827.0,824.0,1272.0,0.58,306.0,82.0,0.54,45.0,82.0,93.0,576711.0,449291.0,115852.0,402885.0,88435.0
37,CA- STOCKTON,1239.0,1177.0,918.0,0.57,329.0,121.0,0.63,41.0,121.0,121.0,556517.0,393958.0,76167.0,464979.0,77159.0
38,CA- VENTURA,1486.0,1388.0,1087.0,0.52,278.0,163.0,0.54,94.0,163.0,163.0,522129.0,390490.0,79155.0,669683.0,124579.0
39,CO- BOULDER,867.0,715.0,640.0,0.58,297.0,72.0,0.59,43.0,72.0,90.0,329726.0,251600.0,47015.0,267487.0,42093.0
40,CO- COLORADO SPRINGS,2129.0,2105.0,1295.0,0.57,555.0,609.0,0.39,62.0,609.0,149.0,955196.0,708133.0,138403.0,673350.0,119939.0
41,CO- DENVER,7625.0,6437.0,5593.0,0.58,2269.0,818.0,0.61,325.0,818.0,843.0,3081317.0,2327254.0,413638.0,2380353.0,379848.0
42,CO- FORT COLLINS,640.0,554.0,704.0,0.48,341.0,31.0,0.55,14.0,31.0,31.0,444557.0,339558.0,69041.0,287995.0,47223.0
43,CO- GRAND JUNCTION,756.0,581.0,696.0,0.54,321.0,63.0,0.56,33.0,63.0,75.0,369569.0,280480.0,67548.0,270519.0,57077.0
