fips_code,State,County Name,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Population,Population (20+),Population (65+),Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)],Licensed All Beds [Per 1000 People],Licensed All Beds [Per 1000 Adults (20+)],Licensed All Beds [Per 1000 Elderly (65+)],ICU Bed Source,ICU Bed Source Last Updated
02016,AK,Aleutians West,0.0,0.0,0.0,,,5723.0,4983.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Facility aggregation,
02020,AK,Anchorage,979.0,73.0,1149.0,0.66,0.71,291538.0,213508.0,32333.0,3.358,4.585,30.279,0.25,0.342,2.258,3.941,5.382,35.536,Facility aggregation,
02050,AK,Bethel,34.0,0.0,37.0,0.4,,18216.0,11082.0,1402.0,1.866,3.068,24.251,0.0,0.0,0.0,2.031,3.339,26.391,Facility aggregation,
02070,AK,Dillingham,18.0,0.0,18.0,0.15,,5000.0,3278.0,470.0,3.6,5.491,38.298,0.0,0.0,0.0,3.6,5.491,38.298,Facility aggregation,
02090,AK,Fairbanks North Star,145.0,13.0,175.0,0.46,0.66,98971.0,72505.0,10204.0,1.465,2.0,14.21,0.131,0.179,1.274,1.768,2.414,17.15,Facility aggregation,
02110,AK,Juneau,45.0,9.0,73.0,0.41,0.32,32113.0,24525.0,4298.0,1.401,1.835,10.47,0.28,0.367,2.094,2.273,2.977,16.985,Facility aggregation,
02122,AK,Kenai Peninsula,76.0,6.0,77.0,0.56,0.69,58533.0,44086.0,10188.0,1.298,1.724,7.46,0.103,0.136,0.589,1.315,1.747,7.558,Facility aggregation,
02130,AK,Ketchikan Gateway,25.0,4.0,25.0,0.42,0.31,13918.0,10514.0,2162.0,1.796,2.378,11.563,0.287,0.38,1.85,1.796,2.378,11.563,Facility aggregation,
02150,AK,Kodiak Island,24.0,0.0,25.0,0.22,,13345.0,9602.0,1379.0,1.798,2.499,17.404,0.0,0.0,0.0,1.873,2.604,18.129,Facility aggregation,
02170,AK,Matanuska-Susitna,74.0,14.0,125.0,0.72,0.33,107610.0,76265.0,12814.0,0.688,0.97,5.775,0.13,0.184,1.093,1.162,1.639,9.755,Facility aggregation,
02180,AK,Nome,0.0,0.0,36.0,,,10008.0,6248.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,3.597,5.762,46.512,Facility aggregation,
02185,AK,North Slope,20.0,0.0,0.0,0.06,,9872.0,7055.0,673.0,2.026,2.835,29.718,0.0,0.0,0.0,0.0,0.0,0.0,Facility aggregation,
02188,AK,Northwest Arctic,17.0,0.0,17.0,0.23,,7671.0,4736.0,561.0,2.216,3.59,30.303,0.0,0.0,0.0,2.216,3.59,30.303,Facility aggregation,
02195,AK,Petersburg,12.0,0.0,12.0,0.26,,3221.0,2484.0,615.0,3.726,4.831,19.512,0.0,0.0,0.0,3.726,4.831,19.512,Facility aggregation,
02220,AK,Sitka,25.0,0.0,52.0,0.37,,8647.0,6598.0,1361.0,2.891,3.789,18.369,0.0,0.0,0.0,6.014,7.881,38.207,Facility aggregation,
02261,AK,Valdez-Cordova,24.0,0.0,24.0,0.22,,9164.0,6823.0,1256.0,2.619,3.518,19.108,0.0,0.0,0.0,2.619,3.518,19.108,Facility aggregation,
02275,AK,Wrangell,8.0,0.0,8.0,0.19,,2503.0,1954.0,548.0,3.196,4.094,14.599,0.0,0.0,0.0,3.196,4.094,14.599,Facility aggregation,
01001,AL,Autauga,55.0,6.0,85.0,0.62,0.53,55601.0,41177.0,8653.0,0.989,1.336,6.356,0.108,0.146,0.693,1.529,2.064,9.823,Facility aggregation,
01003,AL,Baldwin,362.0,51.0,386.0,0.64,0.65,218022.0,166352.0,44571.0,1.66,2.176,8.122,0.234,0.307,1.144,1.77,2.32,8.66,Facility aggregation,
01005,AL,Barbour,30.0,5.0,74.0,0.43,0.42,24881.0,19189.0,4832.0,1.206,1.563,6.209,0.201,0.261,1.035,2.974,3.856,15.315,Facility aggregation,
01007,AL,Bibb,25.0,0.0,35.0,0.37,,22400.0,17348.0,3690.0,1.116,1.441,6.775,0.0,0.0,0.0,1.562,2.018,9.485,Facility aggregation,
01009,AL,Blount,25.0,6.0,25.0,0.5,0.34,57840.0,43175.0,10548.0,0.432,0.579,2.37,0.104,0.139,0.569,0.432,0.579,2.37,Facility aggregation,
01011,AL,Bullock,30.0,0.0,61.0,0.21,,10138.0,7810.0,1661.0,2.959,3.841,18.061,0.0,0.0,0.0,6.017,7.81,36.725,Facility aggregation,
01013,AL,Butler,66.0,7.0,94.0,0.18,0.38,19680.0,14868.0,3995.0,3.354,4.439,16.521,0.356,0.471,1.752,4.776,6.322,23.529,Facility aggregation,
01015,AL,Calhoun,446.0,24.0,590.0,0.49,0.94,114277.0,86499.0,20247.0,3.903,5.156,22.028,0.21,0.277,1.185,5.163,6.821,29.14,Facility aggregation,
01017,AL,Chambers,0.0,0.0,115.0,,,33615.0,25934.0,6562.0,0.0,0.0,0.0,0.0,0.0,0.0,3.421,4.434,17.525,Facility aggregation,
01019,AL,Cherokee,45.0,0.0,60.0,0.24,,26032.0,20497.0,5980.0,1.729,2.195,7.525,0.0,0.0,0.0,2.305,2.927,10.033,Facility aggregation,
01021,AL,Chilton,26.0,6.0,30.0,0.28,0.09,44153.0,32683.0,7411.0,0.589,0.796,3.508,0.136,0.184,0.81,0.679,0.918,4.048,Facility aggregation,
