Name,Hospital Type,Address,Address_2,City,State,Zipcode,County,Latitude,Longitude,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds - SOURCE,Staffed ICU Beds - SOURCE,Licensed All Beds - SOURCE,All Bed Occupancy Rate - SOURCE,ICU Bed Occupancy Rate - SOURCE,CCM_ID,DH-ID,HCRIS-ID,HIFLD-ID
IU HEALTH UNIVERSITY HOSPITAL,GENERAL ACUTE CARE,550 UNIVERSITY BLVD,,INDIANAPOLIS,IN,46202,MARION,39.77528332600008,-86.17656161499997,,,,,,None,None,,None,None,100,,,100
HEALTHSOUTH NEW ENGLAND REHABILIATION AT BEVERLY,REHABILITATION,"800 CUMMINGS CENTER, 1ST FL, UNIT147",,BEVERLY,MA,1915,ESSEX,42.56098687200004,-70.88723562699994,,,20.0,,,None,None,HIFLD-BEDS,None,None,10001915,,,10001915
ST. JOSEPH'S HOSPITAL,CRITICAL ACCESS,12886 TROXLER AVENUE,,HIGHLAND,IL,62249,MADISON,38.75458374500005,-89.66759838399997,,,,,,None,None,,None,None,100062249,,,100062249
HOSP SAN CARLOS BORROMEO,GENERAL ACUTE CARE,550 CONCEPCION VERA AYALA,,MOCA,PR,676,MOCA,18.390194351000048,-67.10996903999995,106.0,7.0,106.0,0.49,0.73,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1000676,4294,400111,1000676
RIVERVIEW MEDICAL CENTER,GENERAL ACUTE CARE,1 RIVERVIEW PLAZA,,RED BANK,NJ,7701,MONMOUTH,40.353981806000036,-74.06384267899993,274.0,27.0,468.0,0.59,0.42,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10007701,2512,310034,10007701
HELEN HAYES HOSPITAL,REHABILITATION,51 NORTH ROUTE 9W,,WEST HARVESTRAW,NY,10993,ROCKLAND,41.214307232000046,-73.98834471599997,155.0,,155.0,,,DH-NUM_STAFFE,None,DH-NUM_STAFFE,None,None,10010993,2695,330405,10010993
VA MEDICAL CENTER - BATH,MILITARY,76 VETERANS AVE,,BATH,NY,14810,STEUBEN,42.34405241300004,-77.34750918899994,,,,,,None,None,,None,None,10014810,2705,,10014810
MOSES TAYLOR HOSPITAL,GENERAL ACUTE CARE,700 QUINCY AVENUE,,SCRANTON,PA,18510,LACKAWANNA,41.41069495500005,-75.65056814399996,161.0,11.0,213.0,0.59,0.52,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10018510,3269,390119,10018510
TUFTS MEDICAL CENTER,GENERAL ACUTE CARE,800 WASHINGTON STREET,,BOSTON,MA,2111,SUFFOLK,42.3499,-71.064,364.0,98.0,415.0,0.67,0.7,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1002111,1829,220116,1002111
HEALTHSOUTH REHABILITATION HOSPITAL OF VIRGINIA,REHABILITATION,5700 FITZHUGH AVENUE,,RICHMOND,VA,23226,HENRICO,37.585943981000064,-77.50671264199997,40.0,0.0,40.0,0.6375342465753424,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10023226,5653,493028,10023226
FIRSTHEALTH MOORE REGIONAL HOSPITAL HAMLET,GENERAL ACUTE CARE,1000 WEST HAMLET AVENUE,,HAMLET,NC,28345,RICHMOND,34.901812005000075,-79.70852144699995,,,64.0,,,None,None,HIFLD-BEDS,None,None,10028345,,,10028345
RHODE ISLAND HOSPITAL,GENERAL ACUTE CARE,593 EDDY STREET,,PROVIDENCE,RI,2903,PROVIDENCE,41.811881079000045,-71.40912925499998,622.0,147.0,719.0,0.81,0.8,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1002903,3347,410007,1002903
EVANS MEMORIAL HOSPITAL,GENERAL ACUTE CARE,200 NORTH RIVER STREET,,CLAXTON,GA,30417,EVANS,32.16588314400007,-81.89902444499995,49.0,,49.0,0.07,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10030417,914,110142,10030417
CROTCHED MOUNTAIN REHABILITATION CENTER,REHABILITATION,1 VERNEY DRIVE,,GREENFIELD,NH,3047,HILLSBOROUGH,42.97187110000005,-71.87453591099995,,,62.0,,,None,None,HIFLD-BEDS,None,None,1003047,,,1003047
NORTHWEST MEDICAL CENTER,GENERAL ACUTE CARE,1530 U. S. HWY 43,,WINFIELD,AL,35594,MARION,33.930537670000035,-87.82452473499997,61.0,4.0,71.0,0.15,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10035594,75,010086,10035594
