HRRCITY,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Population,Population (20+),Population (65+),Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)],Licensed All Beds [Per 1000 People],Licensed All Beds [Per 1000 Adults (20+)],Licensed All Beds [Per 1000 Elderly (65+)]
AL- BIRMINGHAM,7551.0,838.0,9763.0,0.58,0.68,2315317.0,1739960.0,394851.0,3.261,4.34,19.124,0.362,0.482,2.122,4.217,5.611,24.726
AL- DOTHAN,1159.0,110.0,1501.0,0.55,0.68,369295.0,280167.0,69067.0,3.138,4.137,16.781,0.298,0.393,1.593,4.065,5.358,21.733
AL- HUNTSVILLE,1754.0,163.0,2110.0,0.63,0.71,664860.0,500270.0,106495.0,2.638,3.506,16.47,0.245,0.326,1.531,3.174,4.218,19.813
AL- MOBILE,2490.0,270.0,3244.0,0.64,0.69,856229.0,640362.0,148917.0,2.908,3.888,16.721,0.315,0.422,1.813,3.789,5.066,21.784
AL- MONTGOMERY,1466.0,117.0,1938.0,0.58,0.62,459289.0,342900.0,73128.0,3.192,4.275,20.047,0.255,0.341,1.6,4.22,5.652,26.501
AL- TUSCALOOSA,711.0,96.0,1054.0,0.65,0.83,276955.0,207337.0,41707.0,2.567,3.429,17.047,0.347,0.463,2.302,3.806,5.084,25.272
AR- FORT SMITH,878.0,49.0,1548.0,0.46,0.22,379228.0,280700.0,67712.0,2.315,3.128,12.967,0.129,0.175,0.724,4.082,5.515,22.862
AR- JONESBORO,893.0,82.0,1091.0,0.55,0.67,255910.0,186443.0,41573.0,3.49,4.79,21.48,0.32,0.44,1.972,4.263,5.852,26.243
AR- LITTLE ROCK,6183.0,488.0,8167.0,0.58,0.68,1576377.0,1180606.0,278522.0,3.922,5.237,22.199,0.31,0.413,1.752,5.181,6.918,29.323
AR- SPRINGDALE,1290.0,115.0,1794.0,0.54,0.47,621409.0,448833.0,88716.0,2.076,2.874,14.541,0.185,0.256,1.296,2.887,3.997,20.222
AR- TEXARKANA,923.0,96.0,1229.0,0.43,0.26,257300.0,189290.0,45553.0,3.587,4.876,20.262,0.373,0.507,2.107,4.777,6.493,26.98
AZ- MESA,2541.0,281.0,2676.0,0.72,0.62,380496.0,282352.0,66086.0,6.678,8.999,38.45,0.739,0.995,4.252,7.033,9.478,40.493
AZ- PHOENIX,8802.0,731.0,10578.0,0.6,0.58,2874080.0,2129954.0,509692.0,3.063,4.132,17.269,0.254,0.343,1.434,3.68,4.966,20.754
AZ- SUN CITY,916.0,119.0,1020.0,0.47,0.32,746692.0,552840.0,121497.0,1.227,1.657,7.539,0.159,0.215,0.979,1.366,1.845,8.395
AZ- TUCSON,3098.0,308.0,3699.0,0.56,0.51,1123893.0,848419.0,223377.0,2.756,3.651,13.869,0.274,0.363,1.379,3.291,4.36,16.559
CA- ALAMEDA CO.,3564.0,323.0,4380.0,0.59,0.54,1753267.0,1350461.0,242861.0,2.033,2.639,14.675,0.184,0.239,1.33,2.498,3.243,18.035
CA- BAKERSFIELD,2256.0,205.0,3788.0,0.57,0.53,785968.0,532654.0,87259.0,2.87,4.235,25.854,0.261,0.385,2.349,4.82,7.112,43.411
CA- CHICO,521.0,51.0,750.0,0.79,0.54,261294.0,197927.0,48142.0,1.994,2.632,10.822,0.195,0.258,1.059,2.87,3.789,15.579
CA- CONTRA COSTA CO.,1908.0,203.0,2082.0,0.57,0.59,1227389.0,923090.0,193541.0,1.555,2.067,9.858,0.165,0.22,1.049,1.696,2.255,10.757
CA- FRESNO,3677.0,228.0,4048.0,0.46,0.59,1083238.0,749539.0,132085.0,3.394,4.906,27.838,0.21,0.304,1.726,3.737,5.401,30.647
CA- LOS ANGELES,23177.0,2313.0,27506.0,0.62,0.62,9969706.0,7539253.0,1352204.0,2.325,3.074,17.14,0.232,0.307,1.711,2.759,3.648,20.342
CA- MODESTO,1724.0,118.0,2000.0,0.62,0.64,968553.0,678659.0,129193.0,1.78,2.54,13.344,0.122,0.174,0.913,2.065,2.947,15.481
CA- NAPA,477.0,70.0,723.0,0.57,0.41,273552.0,210334.0,55557.0,1.744,2.268,8.586,0.256,0.333,1.26,2.643,3.437,13.014
CA- ORANGE CO.,6193.0,701.0,7161.0,0.55,0.53,3419618.0,2580385.0,502821.0,1.811,2.4,12.317,0.205,0.272,1.394,2.094,2.775,14.242
CA- PALM SPR/RANCHO MIR.,744.0,69.0,994.0,0.61,0.66,684249.0,488697.0,88485.0,1.087,1.522,8.408,0.101,0.141,0.78,1.453,2.034,11.234
CA- REDDING,845.0,109.0,936.0,0.54,0.42,259231.0,199445.0,52250.0,3.26,4.237,16.172,0.42,0.547,2.086,3.611,4.693,17.914
CA- SACRAMENTO,4850.0,558.0,5253.0,0.67,0.62,2835644.0,2108294.0,438303.0,1.71,2.3,11.065,0.197,0.265,1.273,1.852,2.492,11.985
CA- SALINAS,691.0,47.0,729.0,0.59,0.5,381570.0,270671.0,51836.0,1.811,2.553,13.331,0.123,0.174,0.907,1.911,2.693,14.064
CA- SAN BERNARDINO,8067.0,650.0,8586.0,0.63,0.66,1776319.0,1267988.0,221597.0,4.541,6.362,36.404,0.366,0.513,2.933,4.834,6.771,38.746
CA- SAN DIEGO,7495.0,758.0,9462.0,0.65,0.55,4701305.0,3496113.0,664995.0,1.594,2.144,11.271,0.161,0.217,1.14,2.013,2.706,14.229
CA- SAN FRANCISCO,3799.0,461.0,5326.0,0.61,0.59,1112917.0,921477.0,186579.0,3.414,4.123,20.361,0.414,0.5,2.471,4.786,5.78,28.546
CA- SAN JOSE,2837.0,277.0,3275.0,0.52,0.56,1906062.0,1442171.0,257814.0,1.488,1.967,11.004,0.145,0.192,1.074,1.718,2.271,12.703
